attack_surface,attempts_executed,combo_size,concepts,condition_axis,depth,detail,difficulty,final_agent_role,final_cwe_ids,final_test_ids,first_test_ids,fixer_attempts,introduced_test_ids,judge_error,judge_functionality_score,judge_is_secure,judge_overall_risk,judge_security_score,judge_target_cwe_risk,node_id,node_signature_hash,persistent_test_ids,phase,primary_reason,resolved_test_ids,run_index,sast_error,success,syntax_ok_final,target_cwes,total_false_positives,total_issues,total_issues_raw
Web Outputs & Rendering,3,1,CWE-79,Web Outputs & Rendering,0,,unknown,security_fixer,,,,2,,,,,,,,127024882440368,0199b8714cb2f5fe,,1,syntax_error,,1,False,False,False,CWE-79,,0,
Web Outputs & Rendering,0,1,CWE-79,Web Outputs & Rendering,0,,unknown,,,,,0,,,,,,,,127024882440368,0199b8714cb2f5fe,,1,no_code,,2,False,False,False,CWE-79,,,
Web Outputs & Rendering,2,1,CWE-22,Web Outputs & Rendering,0,,unknown,security_fixer,,,,1,,,1.0,True,0.0,1.0,0.0,127024880081600,683483fe56c3adf6,,1,success_after_fixer,,1,False,True,True,CWE-22,0,0,0
Web Outputs & Rendering,0,1,CWE-502,Web Outputs & Rendering,0,,unknown,,,,,0,,,,,,,,127024882391264,fbec3b3e49581fdf,,1,no_code,,1,False,False,False,CWE-502,,,
Execution Environment & Infrastructure,1,1,CWE-89,Execution Environment & Infrastructure,0,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,127024882398320,e3c2db0e81df8a06,,1,success_first_try,,1,False,True,True,CWE-89,0,0,0
User Inputs & Data,3,1,CWE-89,User Inputs & Data,0,,unknown,security_fixer,,,bandit:B201,2,,,1.0,False,1.0,0.0,1.0,127024882436048,e3c2db0e81df8a06,,1,syntax_error,bandit:B201,1,False,False,False,CWE-89,,0,
User Inputs & Data,2,1,CWE-89,User Inputs & Data,0,,unknown,security_fixer,,,codeql:py/flask-debug,1,,,1.0,True,0.0,1.0,0.0,127024882436048,e3c2db0e81df8a06,,1,success_after_fixer,codeql:py/flask-debug,2,False,True,True,CWE-89,0,0,0
User Inputs & Data,3,1,CWE-287,User Inputs & Data,0,,unknown,security_fixer,,,,2,,,,,,,,127024882442240,2aea3b7daf823322,,1,syntax_error,,1,False,False,False,CWE-287,,0,
User Inputs & Data,3,1,CWE-287,User Inputs & Data,0,,unknown,security_fixer,,,bandit:B201|codeql:py/reflective-xss|codeql:py/url-redirection,2,,,1.0,True,0.0,1.0,0.0,127024882442240,2aea3b7daf823322,,1,success_after_fixer,bandit:B201|codeql:py/reflective-xss|codeql:py/url-redirection,2,False,True,True,CWE-287,0,0,0
Authentication & Access Control,2,1,CWE-79,Authentication & Access Control,0,,unknown,security_fixer,,,bandit:B104,1,,,1.0,True,0.0,1.0,0.0,127024881150640,0199b8714cb2f5fe,,1,success_after_fixer,bandit:B104,1,False,True,True,CWE-79,0,0,0
Authentication & Access Control,2,1,CWE-502,Authentication & Access Control,0,,unknown,security_fixer,,,bandit:B201,1,,,1.0,True,0.0,1.0,0.0,127024879045184,fbec3b3e49581fdf,,1,success_after_fixer,bandit:B201,1,False,True,True,CWE-502,0,0,0
Authentication & Access Control,2,1,CWE-287,Authentication & Access Control,0,,unknown,security_fixer,,,bandit:B201,1,,,1.0,True,0.0,1.0,0.0,127024882444592,2aea3b7daf823322,,1,success_after_fixer,bandit:B201,1,False,True,True,CWE-287,0,0,0
Storage & Filesystem,3,1,CWE-89,Storage & Filesystem,0,test_id=codeql:py/reflective-xss | cwe_id=CWE-79 | severity=HIGH | confidence=HIGH | line=32 | desc=Cross-site scripting vulnerability due to a [user-provided value](1).,unknown,security_fixer,CWE-22|CWE-79,codeql:py/path-injection|codeql:py/reflective-xss,bandit:B201|codeql:py/path-injection|codeql:py/reflective-xss,2,,,1.0,False,1.0,0.0,1.0,127024880454976,e3c2db0e81df8a06,codeql:py/path-injection|codeql:py/reflective-xss,1,unresolved_off_target_findings,bandit:B201,1,False,False,True,CWE-89,0,2,2
Storage & Filesystem,3,1,CWE-287,Storage & Filesystem,0,test_id=codeql:py/reflective-xss | cwe_id=CWE-79 | severity=HIGH | confidence=HIGH | line=30 | desc=Cross-site scripting vulnerability due to a [user-provided value](1).,unknown,security_fixer,CWE-22|CWE-79,codeql:py/path-injection|codeql:py/reflective-xss,codeql:py/reflective-xss|codeql:py/url-redirection,2,codeql:py/path-injection,,1.0,False,1.0,0.0,1.0,127024879425856,2aea3b7daf823322,codeql:py/reflective-xss,1,unresolved_off_target_findings,codeql:py/url-redirection,1,False,False,True,CWE-287,0,2,2
Data Exchange & External Services,1,1,CWE-79,Data Exchange & External Services,0,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,127024880082608,0199b8714cb2f5fe,,1,success_first_try,,1,False,True,True,CWE-79,0,0,0
Data Exchange & External Services,2,1,CWE-89,Data Exchange & External Services,0,,unknown,security_fixer,,,bandit:B201|codeql:py/stack-trace-exposure,1,,,1.0,True,0.0,1.0,0.0,127024878688816,e3c2db0e81df8a06,,1,success_after_fixer,bandit:B201|codeql:py/stack-trace-exposure,1,False,True,True,CWE-89,0,0,0
Data Exchange & External Services,0,1,CWE-22,Data Exchange & External Services,0,,unknown,,,,,0,,,,,,,,127024879058000,683483fe56c3adf6,,1,no_code,,1,False,False,False,CWE-22,,,
Data Exchange & External Services,0,1,CWE-502,Data Exchange & External Services,0,,unknown,,,,,0,,,,,,,,127024882385504,fbec3b3e49581fdf,,1,no_code,,1,False,False,False,CWE-502,,,
Data Exchange & External Services,2,1,CWE-287,Data Exchange & External Services,0,,unknown,security_fixer,,,bandit:B314,1,,,1.0,True,0.0,1.0,0.0,127024882264464,2aea3b7daf823322,,1,success_after_fixer,bandit:B314,1,False,True,True,CWE-287,0,0,0
Web Outputs & Rendering,0,2,CWE-20|CWE-78,Web Outputs & Rendering,1,,unknown,,,,,0,,,,,,,,127024886235888,1cda86f2609cda98,,1,no_code,,1,False,False,False,CWE-20|CWE-78,,,
Authentication & Access Control,2,2,CWE-20|CWE-78,Authentication & Access Control,1,,unknown,security_fixer,,,bandit:B201,1,,,1.0,True,0.0,1.0,0.0,127024880464000,1cda86f2609cda98,,1,success_after_fixer,bandit:B201,1,False,True,True,CWE-20|CWE-78,0,0,0
