attack_surface,failed_run_share_within_surface,failed_runs_with_reason,primary_reason,surface_failed_runs,surface_runs
User Inputs & Data,0.5,2,syntax_error,4,10
User Inputs & Data,0.25,1,no_code,4,10
User Inputs & Data,0.25,1,unresolved_off_target_findings,4,10
User Inputs & Data,0.0,0,unresolved_target_findings,4,10
Web Outputs & Rendering,0.2,1,syntax_error,5,7
Web Outputs & Rendering,0.6,3,no_code,5,7
Web Outputs & Rendering,0.0,0,unresolved_off_target_findings,5,7
Web Outputs & Rendering,0.2,1,unresolved_target_findings,5,7
Storage & Filesystem,0.13636363636363635,3,syntax_error,22,40
Storage & Filesystem,0.045454545454545456,1,no_code,22,40
Storage & Filesystem,0.8181818181818182,18,unresolved_off_target_findings,22,40
Storage & Filesystem,0.0,0,unresolved_target_findings,22,40
Authentication & Access Control,0.0,0,syntax_error,3,31
Authentication & Access Control,0.6666666666666666,2,no_code,3,31
Authentication & Access Control,0.0,0,unresolved_off_target_findings,3,31
Authentication & Access Control,0.3333333333333333,1,unresolved_target_findings,3,31
Data Exchange & External Services,0.08333333333333333,1,syntax_error,12,48
Data Exchange & External Services,0.5,6,no_code,12,48
Data Exchange & External Services,0.4166666666666667,5,unresolved_off_target_findings,12,48
Data Exchange & External Services,0.0,0,unresolved_target_findings,12,48
Execution Environment & Infrastructure,0.6666666666666666,2,syntax_error,3,9
Execution Environment & Infrastructure,0.3333333333333333,1,no_code,3,9
Execution Environment & Infrastructure,0.0,0,unresolved_off_target_findings,3,9
Execution Environment & Infrastructure,0.0,0,unresolved_target_findings,3,9
