anchor_type,anchor_value,attack_surface,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,group_failure_share,group_support,overall_failure_share,overall_support,pattern_id,primary_reason,specificity_lift,summary
sast_test,bandit:B301,User Inputs & Data,Off-target findings introduced via bandit:B301,User Inputs & Data,CWE-20,0.25,1,0.02040816326530612,1,unresolved_off_target_findings::sast_test:bandit:B301,unresolved_off_target_findings,12.250000000000002,Off-target findings introduced via bandit:B301 appeared in 1/4 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B301`. Most recurrent unresolved final CWE: `CWE-502`.
generic,,User Inputs & Data,Syntax errors in generated code,User Inputs & Data,CWE-89,0.5,2,0.1836734693877551,9,syntax_error,syntax_error,2.722222222222222,Syntax errors in generated code appeared in 2/4 failed runs and was most common on `User Inputs & Data` while targeting `CWE-89`.
generic,,User Inputs & Data,No code returned,User Inputs & Data,CWE-502,0.25,1,0.2857142857142857,14,no_code,no_code,0.875,No code returned appeared in 1/4 failed runs and was most common on `User Inputs & Data` while targeting `CWE-502`.
sast_test,bandit:B301,Web Outputs & Rendering,Persistent target findings on bandit:B301,Web Outputs & Rendering,CWE-287,0.2,1,0.02040816326530612,1,unresolved_target_findings::sast_test:bandit:B301,unresolved_target_findings,9.8,Persistent target findings on bandit:B301 appeared in 1/5 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-287`. Most recurrent unresolved SAST test: `bandit:B301`. Most recurrent unresolved final CWE: `CWE-502`.
generic,,Web Outputs & Rendering,No code returned,Web Outputs & Rendering,CWE-79,0.6,3,0.2857142857142857,14,no_code,no_code,2.1,No code returned appeared in 3/5 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-79`.
generic,,Web Outputs & Rendering,Syntax errors in generated code,Web Outputs & Rendering,CWE-79,0.2,1,0.1836734693877551,9,syntax_error,syntax_error,1.0888888888888888,Syntax errors in generated code appeared in 1/5 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-79`.
sast_test,codeql:py/reflective-xss,Storage & Filesystem,Off-target findings introduced via codeql:py/reflective-xss,Storage & Filesystem,CWE-287,0.045454545454545456,1,0.02040816326530612,1,unresolved_off_target_findings::sast_test:codeql:py/reflective-xss,unresolved_off_target_findings,2.2272727272727275,Off-target findings introduced via codeql:py/reflective-xss appeared in 1/22 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-287`. Most recurrent unresolved SAST test: `codeql:py/reflective-xss`. Most recurrent unresolved final CWE: `CWE-22`.
sast_test,bandit:B103,Storage & Filesystem,Off-target findings introduced via bandit:B103,Storage & Filesystem,CWE-287,0.045454545454545456,1,0.02040816326530612,1,unresolved_off_target_findings::sast_test:bandit:B103,unresolved_off_target_findings,2.2272727272727275,Off-target findings introduced via bandit:B103 appeared in 1/22 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-287`. Most recurrent unresolved SAST test: `bandit:B103`. Most recurrent unresolved final CWE: `CWE-732`.
sast_test,bandit:B104,Storage & Filesystem,Off-target findings introduced via bandit:B104,Storage & Filesystem,CWE-79,0.045454545454545456,1,0.02040816326530612,1,unresolved_off_target_findings::sast_test:bandit:B104,unresolved_off_target_findings,2.2272727272727275,Off-target findings introduced via bandit:B104 appeared in 1/22 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-79`. Most recurrent unresolved SAST test: `bandit:B104`. Most recurrent unresolved final CWE: `CWE-22`.
sast_test,codeql:py/path-injection,Storage & Filesystem,Off-target findings introduced via codeql:py/path-injection,Storage & Filesystem,CWE-502,0.6818181818181818,15,0.32653061224489793,16,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,2.0880681818181817,Off-target findings introduced via codeql:py/path-injection appeared in 15/22 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-502`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.
generic,,Storage & Filesystem,Syntax errors in generated code,Storage & Filesystem,CWE-20,0.13636363636363635,3,0.1836734693877551,9,syntax_error,syntax_error,0.7424242424242423,Syntax errors in generated code appeared in 3/22 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`.
