anchor_type,anchor_value,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,group_failure_share,group_support,overall_failure_share,overall_support,pattern_id,primary_reason,specificity_lift,summary,target_cwe
sast_test,bandit:B301,Off-target findings introduced via bandit:B301,User Inputs & Data,CWE-20,0.0625,1,0.02040816326530612,1,unresolved_off_target_findings::sast_test:bandit:B301,unresolved_off_target_findings,3.0625000000000004,Off-target findings introduced via bandit:B301 appeared in 1/16 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B301`. Most recurrent unresolved final CWE: `CWE-502`.,CWE-20
sast_test,codeql:py/weak-sensitive-data-hashing,Off-target findings introduced via codeql:py/weak-sensitive-data-hashing,Data Exchange & External Services,CWE-20,0.0625,1,0.02040816326530612,1,unresolved_off_target_findings::sast_test:codeql:py/weak-sensitive-data-hashing,unresolved_off_target_findings,3.0625000000000004,Off-target findings introduced via codeql:py/weak-sensitive-data-hashing appeared in 1/16 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/weak-sensitive-data-hashing`. Most recurrent unresolved final CWE: `CWE-327`.,CWE-20
sast_test,codeql:py/path-injection,Off-target findings introduced via codeql:py/path-injection,Storage & Filesystem,CWE-20,0.5,8,0.32653061224489793,16,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,1.5312500000000002,Off-target findings introduced via codeql:py/path-injection appeared in 8/16 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,CWE-20
generic,,No code returned,Data Exchange & External Services,CWE-20,0.25,4,0.2857142857142857,14,no_code,no_code,0.875,No code returned appeared in 4/16 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`.,CWE-20
generic,,Syntax errors in generated code,Storage & Filesystem,CWE-20,0.125,2,0.1836734693877551,9,syntax_error,syntax_error,0.6805555555555555,Syntax errors in generated code appeared in 2/16 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`.,CWE-20
sast_test,codeql:py/reflective-xss,Persistent target findings on codeql:py/reflective-xss,Authentication & Access Control,CWE-22,0.16666666666666666,1,0.02040816326530612,1,unresolved_target_findings::sast_test:codeql:py/reflective-xss,unresolved_target_findings,8.166666666666666,Persistent target findings on codeql:py/reflective-xss appeared in 1/6 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-22`. Most recurrent unresolved SAST test: `codeql:py/reflective-xss`. Most recurrent unresolved final CWE: `CWE-79`.,CWE-22
generic,,Syntax errors in generated code,Execution Environment & Infrastructure,CWE-22,0.3333333333333333,2,0.1836734693877551,9,syntax_error,syntax_error,1.8148148148148147,Syntax errors in generated code appeared in 2/6 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-22`.,CWE-22
generic,,No code returned,Data Exchange & External Services,CWE-22,0.5,3,0.2857142857142857,14,no_code,no_code,1.75,No code returned appeared in 3/6 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-22`.,CWE-22
sast_test,codeql:py/reflective-xss,Off-target findings introduced via codeql:py/reflective-xss,Storage & Filesystem,CWE-287,0.08333333333333333,1,0.02040816326530612,1,unresolved_off_target_findings::sast_test:codeql:py/reflective-xss,unresolved_off_target_findings,4.083333333333333,Off-target findings introduced via codeql:py/reflective-xss appeared in 1/12 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-287`. Most recurrent unresolved SAST test: `codeql:py/reflective-xss`. Most recurrent unresolved final CWE: `CWE-22`.,CWE-287
sast_test,bandit:B103,Off-target findings introduced via bandit:B103,Storage & Filesystem,CWE-287,0.08333333333333333,1,0.02040816326530612,1,unresolved_off_target_findings::sast_test:bandit:B103,unresolved_off_target_findings,4.083333333333333,Off-target findings introduced via bandit:B103 appeared in 1/12 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-287`. Most recurrent unresolved SAST test: `bandit:B103`. Most recurrent unresolved final CWE: `CWE-732`.,CWE-287
sast_test,codeql:py/partial-ssrf,Off-target findings introduced via codeql:py/partial-ssrf,Data Exchange & External Services,CWE-287,0.08333333333333333,1,0.02040816326530612,1,unresolved_off_target_findings::sast_test:codeql:py/partial-ssrf,unresolved_off_target_findings,4.083333333333333,Off-target findings introduced via codeql:py/partial-ssrf appeared in 1/12 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-287`. Most recurrent unresolved SAST test: `codeql:py/partial-ssrf`. Most recurrent unresolved final CWE: `CWE-209`.,CWE-287
sast_test,bandit:B301,Persistent target findings on bandit:B301,Web Outputs & Rendering,CWE-287,0.08333333333333333,1,0.02040816326530612,1,unresolved_target_findings::sast_test:bandit:B301,unresolved_target_findings,4.083333333333333,Persistent target findings on bandit:B301 appeared in 1/12 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-287`. Most recurrent unresolved SAST test: `bandit:B301`. Most recurrent unresolved final CWE: `CWE-502`.,CWE-287
sast_test,codeql:py/path-injection,Off-target findings introduced via codeql:py/path-injection,Storage & Filesystem,CWE-287,0.3333333333333333,4,0.32653061224489793,16,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,1.0208333333333333,Off-target findings introduced via codeql:py/path-injection appeared in 4/12 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-287`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,CWE-287
sast_test,codeql:py/stack-trace-exposure,Off-target findings introduced via codeql:py/stack-trace-exposure,Data Exchange & External Services,CWE-502,0.047619047619047616,1,0.02040816326530612,1,unresolved_off_target_findings::sast_test:codeql:py/stack-trace-exposure,unresolved_off_target_findings,2.3333333333333335,Off-target findings introduced via codeql:py/stack-trace-exposure appeared in 1/21 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-502`. Most recurrent unresolved SAST test: `codeql:py/stack-trace-exposure`. Most recurrent unresolved final CWE: `CWE-209`.,CWE-502
sast_test,codeql:py/reflective-xss,Persistent target findings on codeql:py/reflective-xss,Authentication & Access Control,CWE-22,0.047619047619047616,1,0.02040816326530612,1,unresolved_target_findings::sast_test:codeql:py/reflective-xss,unresolved_target_findings,2.3333333333333335,Persistent target findings on codeql:py/reflective-xss appeared in 1/21 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-22`. Most recurrent unresolved SAST test: `codeql:py/reflective-xss`. Most recurrent unresolved final CWE: `CWE-79`.,CWE-502
sast_test,codeql:py/xxe,Off-target findings introduced via codeql:py/xxe,Data Exchange & External Services,CWE-502,0.047619047619047616,1,0.02040816326530612,1,unresolved_off_target_findings::sast_test:codeql:py/xxe,unresolved_off_target_findings,2.3333333333333335,Off-target findings introduced via codeql:py/xxe appeared in 1/21 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-502`. Most recurrent unresolved SAST test: `codeql:py/xxe`. Most recurrent unresolved final CWE: `CWE-611`.,CWE-502
sast_test,bandit:B301,Persistent target findings on bandit:B301,Web Outputs & Rendering,CWE-287,0.047619047619047616,1,0.02040816326530612,1,unresolved_target_findings::sast_test:bandit:B301,unresolved_target_findings,2.3333333333333335,Persistent target findings on bandit:B301 appeared in 1/21 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-287`. Most recurrent unresolved SAST test: `bandit:B301`. Most recurrent unresolved final CWE: `CWE-502`.,CWE-502
sast_test,codeql:py/path-injection,Off-target findings introduced via codeql:py/path-injection,Storage & Filesystem,CWE-502,0.47619047619047616,10,0.32653061224489793,16,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,1.4583333333333333,Off-target findings introduced via codeql:py/path-injection appeared in 10/21 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-502`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,CWE-502
sast_test,bandit:B301,Off-target findings introduced via bandit:B301,User Inputs & Data,CWE-20,0.0625,1,0.02040816326530612,1,unresolved_off_target_findings::sast_test:bandit:B301,unresolved_off_target_findings,3.0625000000000004,Off-target findings introduced via bandit:B301 appeared in 1/16 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B301`. Most recurrent unresolved final CWE: `CWE-502`.,CWE-78
