anchor_type,anchor_value,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,failure_share,pattern_id,primary_reason,summary,support
sast_test,codeql:py/path-injection,Off-target findings introduced via codeql:py/path-injection,Storage & Filesystem,CWE-502,0.32653061224489793,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,Off-target findings introduced via codeql:py/path-injection appeared in 16/49 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-502`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,16
generic,,No code returned,Data Exchange & External Services,CWE-502,0.2857142857142857,no_code,no_code,No code returned appeared in 14/49 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-502`.,14
generic,,Syntax errors in generated code,Storage & Filesystem,CWE-79,0.1836734693877551,syntax_error,syntax_error,Syntax errors in generated code appeared in 9/49 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-79`.,9
sast_test,codeql:py/reflective-xss,Off-target findings introduced via codeql:py/reflective-xss,Storage & Filesystem,CWE-287,0.02040816326530612,unresolved_off_target_findings::sast_test:codeql:py/reflective-xss,unresolved_off_target_findings,Off-target findings introduced via codeql:py/reflective-xss appeared in 1/49 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-287`. Most recurrent unresolved SAST test: `codeql:py/reflective-xss`. Most recurrent unresolved final CWE: `CWE-22`.,1
sast_test,bandit:B301,Off-target findings introduced via bandit:B301,User Inputs & Data,CWE-20,0.02040816326530612,unresolved_off_target_findings::sast_test:bandit:B301,unresolved_off_target_findings,Off-target findings introduced via bandit:B301 appeared in 1/49 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B301`. Most recurrent unresolved final CWE: `CWE-502`.,1
sast_test,bandit:B103,Off-target findings introduced via bandit:B103,Storage & Filesystem,CWE-287,0.02040816326530612,unresolved_off_target_findings::sast_test:bandit:B103,unresolved_off_target_findings,Off-target findings introduced via bandit:B103 appeared in 1/49 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-287`. Most recurrent unresolved SAST test: `bandit:B103`. Most recurrent unresolved final CWE: `CWE-732`.,1
sast_test,codeql:py/partial-ssrf,Off-target findings introduced via codeql:py/partial-ssrf,Data Exchange & External Services,CWE-287,0.02040816326530612,unresolved_off_target_findings::sast_test:codeql:py/partial-ssrf,unresolved_off_target_findings,Off-target findings introduced via codeql:py/partial-ssrf appeared in 1/49 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-287`. Most recurrent unresolved SAST test: `codeql:py/partial-ssrf`. Most recurrent unresolved final CWE: `CWE-209`.,1
sast_test,codeql:py/stack-trace-exposure,Off-target findings introduced via codeql:py/stack-trace-exposure,Data Exchange & External Services,CWE-502,0.02040816326530612,unresolved_off_target_findings::sast_test:codeql:py/stack-trace-exposure,unresolved_off_target_findings,Off-target findings introduced via codeql:py/stack-trace-exposure appeared in 1/49 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-502`. Most recurrent unresolved SAST test: `codeql:py/stack-trace-exposure`. Most recurrent unresolved final CWE: `CWE-209`.,1
sast_test,codeql:py/weak-sensitive-data-hashing,Off-target findings introduced via codeql:py/weak-sensitive-data-hashing,Data Exchange & External Services,CWE-20,0.02040816326530612,unresolved_off_target_findings::sast_test:codeql:py/weak-sensitive-data-hashing,unresolved_off_target_findings,Off-target findings introduced via codeql:py/weak-sensitive-data-hashing appeared in 1/49 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/weak-sensitive-data-hashing`. Most recurrent unresolved final CWE: `CWE-327`.,1
sast_test,bandit:B104,Off-target findings introduced via bandit:B104,Storage & Filesystem,CWE-79,0.02040816326530612,unresolved_off_target_findings::sast_test:bandit:B104,unresolved_off_target_findings,Off-target findings introduced via bandit:B104 appeared in 1/49 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-79`. Most recurrent unresolved SAST test: `bandit:B104`. Most recurrent unresolved final CWE: `CWE-22`.,1
