anchor_type,anchor_value,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,failure_share,pattern_id,primary_reason,summary,support
sast_test,codeql:py/path-injection,Off-target findings introduced via codeql:py/path-injection,Storage & Filesystem,CWE-20,0.21951219512195122,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,Off-target findings introduced via codeql:py/path-injection appeared in 9/41 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,9
generic,,Syntax errors in generated code,Storage & Filesystem,CWE-502,0.17073170731707318,syntax_error,syntax_error,Syntax errors in generated code appeared in 7/41 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-502`.,7
sast_test,bandit:B201,Off-target findings introduced via bandit:B201,Storage & Filesystem,CWE-20,0.14634146341463414,unresolved_off_target_findings::sast_test:bandit:B201,unresolved_off_target_findings,Off-target findings introduced via bandit:B201 appeared in 6/41 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B201`. Most recurrent unresolved final CWE: `CWE-94`.,6
sast_test,codeql:py/path-injection,Persistent target findings on codeql:py/path-injection,Storage & Filesystem,CWE-22,0.0975609756097561,unresolved_target_findings::sast_test:codeql:py/path-injection,unresolved_target_findings,Persistent target findings on codeql:py/path-injection appeared in 4/41 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-22`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,4
sast_test,bandit:B104,Persistent target findings on bandit:B104,User Inputs & Data,CWE-22,0.07317073170731707,unresolved_target_findings::sast_test:bandit:B104,unresolved_target_findings,Persistent target findings on bandit:B104 appeared in 3/41 failed runs and was most common on `User Inputs & Data` while targeting `CWE-22`. Most recurrent unresolved SAST test: `bandit:B104`. Most recurrent unresolved final CWE: `CWE-605`.,3
sast_test,bandit:B103,Off-target findings introduced via bandit:B103,Storage & Filesystem,CWE-22,0.024390243902439025,unresolved_off_target_findings::sast_test:bandit:B103,unresolved_off_target_findings,Off-target findings introduced via bandit:B103 appeared in 1/41 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-22`. Most recurrent unresolved SAST test: `bandit:B103`. Most recurrent unresolved final CWE: `CWE-732`.,1
sast_test,bandit:B605,Off-target findings introduced via bandit:B605,Execution Environment & Infrastructure,CWE-89,0.024390243902439025,unresolved_off_target_findings::sast_test:bandit:B605,unresolved_off_target_findings,Off-target findings introduced via bandit:B605 appeared in 1/41 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-89`. Most recurrent unresolved SAST test: `bandit:B605`. Most recurrent unresolved final CWE: `CWE-78`.,1
sast_test,bandit:B102,Persistent target findings on bandit:B102,Storage & Filesystem,CWE-20,0.024390243902439025,unresolved_target_findings::sast_test:bandit:B102,unresolved_target_findings,Persistent target findings on bandit:B102 appeared in 1/41 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B102`. Most recurrent unresolved final CWE: `CWE-209`.,1
sast_test,codeql:py/weak-sensitive-data-hashing,Off-target findings introduced via codeql:py/weak-sensitive-data-hashing,Authentication & Access Control,CWE-79,0.024390243902439025,unresolved_off_target_findings::sast_test:codeql:py/weak-sensitive-data-hashing,unresolved_off_target_findings,Off-target findings introduced via codeql:py/weak-sensitive-data-hashing appeared in 1/41 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-79`. Most recurrent unresolved SAST test: `codeql:py/weak-sensitive-data-hashing`. Most recurrent unresolved final CWE: `CWE-327`.,1
sast_test,bandit:B104,Off-target findings introduced via bandit:B104,Data Exchange & External Services,CWE-79,0.024390243902439025,unresolved_off_target_findings::sast_test:bandit:B104,unresolved_off_target_findings,Off-target findings introduced via bandit:B104 appeared in 1/41 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-79`. Most recurrent unresolved SAST test: `bandit:B104`. Most recurrent unresolved final CWE: `CWE-605`.,1
