attack_surface,failed_run_share_within_surface,failed_runs_with_reason,primary_reason,surface_failed_runs,surface_runs
User Inputs & Data,0.25,1,unresolved_target_findings,4,12
User Inputs & Data,0.5,2,unresolved_off_target_findings,4,12
User Inputs & Data,0.25,1,syntax_error,4,12
Web Outputs & Rendering,0.0,0,unresolved_target_findings,0,5
Web Outputs & Rendering,0.0,0,unresolved_off_target_findings,0,5
Web Outputs & Rendering,0.0,0,syntax_error,0,5
Storage & Filesystem,0.2631578947368421,5,unresolved_target_findings,19,40
Storage & Filesystem,0.5789473684210527,11,unresolved_off_target_findings,19,40
Storage & Filesystem,0.15789473684210525,3,syntax_error,19,40
Authentication & Access Control,0.0,0,unresolved_target_findings,5,19
Authentication & Access Control,0.4,2,unresolved_off_target_findings,5,19
Authentication & Access Control,0.6,3,syntax_error,5,19
Data Exchange & External Services,0.3333333333333333,4,unresolved_target_findings,12,72
Data Exchange & External Services,0.6666666666666666,8,unresolved_off_target_findings,12,72
Data Exchange & External Services,0.0,0,syntax_error,12,72
Execution Environment & Infrastructure,0.0,0,unresolved_target_findings,1,8
Execution Environment & Infrastructure,1.0,1,unresolved_off_target_findings,1,8
Execution Environment & Infrastructure,0.0,0,syntax_error,1,8
