anchor_type,anchor_value,attack_surface,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,group_failure_share,group_support,overall_failure_share,overall_support,pattern_id,primary_reason,specificity_lift,summary
sast_test,codeql:py/url-redirection,User Inputs & Data,Off-target findings introduced via codeql:py/url-redirection,User Inputs & Data,CWE-287,0.25,1,0.024390243902439025,1,unresolved_off_target_findings::sast_test:codeql:py/url-redirection,unresolved_off_target_findings,10.25,Off-target findings introduced via codeql:py/url-redirection appeared in 1/4 failed runs and was most common on `User Inputs & Data` while targeting `CWE-287`. Most recurrent unresolved SAST test: `codeql:py/url-redirection`. Most recurrent unresolved final CWE: `CWE-601`.
sast_test,bandit:B104,User Inputs & Data,Persistent target findings on bandit:B104,User Inputs & Data,CWE-22,0.25,1,0.07317073170731707,3,unresolved_target_findings::sast_test:bandit:B104,unresolved_target_findings,3.416666666666667,Persistent target findings on bandit:B104 appeared in 1/4 failed runs and was most common on `User Inputs & Data` while targeting `CWE-22`. Most recurrent unresolved SAST test: `bandit:B104`. Most recurrent unresolved final CWE: `CWE-209`.
generic,,User Inputs & Data,Syntax errors in generated code,User Inputs & Data,CWE-502,0.25,1,0.17073170731707318,7,syntax_error,syntax_error,1.4642857142857142,Syntax errors in generated code appeared in 1/4 failed runs and was most common on `User Inputs & Data` while targeting `CWE-502`.
sast_test,codeql:py/path-injection,User Inputs & Data,Off-target findings introduced via codeql:py/path-injection,User Inputs & Data,CWE-502,0.25,1,0.21951219512195122,9,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,1.1388888888888888,Off-target findings introduced via codeql:py/path-injection appeared in 1/4 failed runs and was most common on `User Inputs & Data` while targeting `CWE-502`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.
sast_test,bandit:B103,Storage & Filesystem,Off-target findings introduced via bandit:B103,Storage & Filesystem,CWE-22,0.05263157894736842,1,0.024390243902439025,1,unresolved_off_target_findings::sast_test:bandit:B103,unresolved_off_target_findings,2.157894736842105,Off-target findings introduced via bandit:B103 appeared in 1/19 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-22`. Most recurrent unresolved SAST test: `bandit:B103`. Most recurrent unresolved final CWE: `CWE-732`.
sast_test,bandit:B102,Storage & Filesystem,Persistent target findings on bandit:B102,Storage & Filesystem,CWE-20,0.05263157894736842,1,0.024390243902439025,1,unresolved_target_findings::sast_test:bandit:B102,unresolved_target_findings,2.157894736842105,Persistent target findings on bandit:B102 appeared in 1/19 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B102`. Most recurrent unresolved final CWE: `CWE-209`.
sast_test,codeql:py/path-injection,Storage & Filesystem,Off-target findings introduced via codeql:py/path-injection,Storage & Filesystem,CWE-287,0.3684210526315789,7,0.21951219512195122,9,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,1.6783625730994152,Off-target findings introduced via codeql:py/path-injection appeared in 7/19 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-287`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.
sast_test,codeql:py/path-injection,Storage & Filesystem,Persistent target findings on codeql:py/path-injection,Storage & Filesystem,CWE-22,0.15789473684210525,3,0.0975609756097561,4,unresolved_target_findings::sast_test:codeql:py/path-injection,unresolved_target_findings,1.6184210526315788,Persistent target findings on codeql:py/path-injection appeared in 3/19 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-22`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.
sast_test,bandit:B201,Storage & Filesystem,Off-target findings introduced via bandit:B201,Storage & Filesystem,CWE-79,0.15789473684210525,3,0.14634146341463414,6,unresolved_off_target_findings::sast_test:bandit:B201,unresolved_off_target_findings,1.0789473684210527,Off-target findings introduced via bandit:B201 appeared in 3/19 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-79`. Most recurrent unresolved SAST test: `bandit:B201`. Most recurrent unresolved final CWE: `CWE-94`.
sast_test,codeql:py/weak-sensitive-data-hashing,Authentication & Access Control,Off-target findings introduced via codeql:py/weak-sensitive-data-hashing,Authentication & Access Control,CWE-79,0.2,1,0.024390243902439025,1,unresolved_off_target_findings::sast_test:codeql:py/weak-sensitive-data-hashing,unresolved_off_target_findings,8.2,Off-target findings introduced via codeql:py/weak-sensitive-data-hashing appeared in 1/5 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-79`. Most recurrent unresolved SAST test: `codeql:py/weak-sensitive-data-hashing`. Most recurrent unresolved final CWE: `CWE-327`.
generic,,Authentication & Access Control,Syntax errors in generated code,Authentication & Access Control,CWE-502,0.6,3,0.17073170731707318,7,syntax_error,syntax_error,3.514285714285714,Syntax errors in generated code appeared in 3/5 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-502`.
sast_test,bandit:B201,Authentication & Access Control,Off-target findings introduced via bandit:B201,Authentication & Access Control,CWE-287,0.2,1,0.14634146341463414,6,unresolved_off_target_findings::sast_test:bandit:B201,unresolved_off_target_findings,1.366666666666667,Off-target findings introduced via bandit:B201 appeared in 1/5 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-287`. Most recurrent unresolved SAST test: `bandit:B201`. Most recurrent unresolved final CWE: `CWE-79`.
sast_test,bandit:B104,Data Exchange & External Services,Off-target findings introduced via bandit:B104,Data Exchange & External Services,CWE-79,0.08333333333333333,1,0.024390243902439025,1,unresolved_off_target_findings::sast_test:bandit:B104,unresolved_off_target_findings,3.4166666666666665,Off-target findings introduced via bandit:B104 appeared in 1/12 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-79`. Most recurrent unresolved SAST test: `bandit:B104`. Most recurrent unresolved final CWE: `CWE-605`.
sast_test,codeql:py/clear-text-storage-sensitive-data,Data Exchange & External Services,Off-target findings introduced via codeql:py/clear-text-storage-sensitive-data,Data Exchange & External Services,CWE-287,0.08333333333333333,1,0.024390243902439025,1,unresolved_off_target_findings::sast_test:codeql:py/clear-text-storage-sensitive-data,unresolved_off_target_findings,3.4166666666666665,Off-target findings introduced via codeql:py/clear-text-storage-sensitive-data appeared in 1/12 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-287`. Most recurrent unresolved SAST test: `codeql:py/clear-text-storage-sensitive-data`. Most recurrent unresolved final CWE: `CWE-312`.
sast_test,bandit:B314,Data Exchange & External Services,Off-target findings introduced via bandit:B314,Data Exchange & External Services,CWE-22,0.08333333333333333,1,0.024390243902439025,1,unresolved_off_target_findings::sast_test:bandit:B314,unresolved_off_target_findings,3.4166666666666665,Off-target findings introduced via bandit:B314 appeared in 1/12 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-22`. Most recurrent unresolved SAST test: `bandit:B314`. Most recurrent unresolved final CWE: `CWE-20`.
sast_test,bandit:B310,Data Exchange & External Services,Persistent target findings on bandit:B310,Data Exchange & External Services,CWE-20,0.08333333333333333,1,0.024390243902439025,1,unresolved_target_findings::sast_test:bandit:B310,unresolved_target_findings,3.4166666666666665,Persistent target findings on bandit:B310 appeared in 1/12 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B310`. Most recurrent unresolved final CWE: `CWE-22`.
sast_test,bandit:B201,Data Exchange & External Services,Persistent target findings on bandit:B201,Data Exchange & External Services,CWE-20,0.08333333333333333,1,0.024390243902439025,1,unresolved_target_findings::sast_test:bandit:B201,unresolved_target_findings,3.4166666666666665,Persistent target findings on bandit:B201 appeared in 1/12 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B201`. Most recurrent unresolved final CWE: `CWE-20`.
sast_test,bandit:B605,Execution Environment & Infrastructure,Off-target findings introduced via bandit:B605,Execution Environment & Infrastructure,CWE-89,1.0,1,0.024390243902439025,1,unresolved_off_target_findings::sast_test:bandit:B605,unresolved_off_target_findings,41.0,Off-target findings introduced via bandit:B605 appeared in 1/1 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-89`. Most recurrent unresolved SAST test: `bandit:B605`. Most recurrent unresolved final CWE: `CWE-78`.
