anchor_type,anchor_value,attack_surface,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,group_failure_share,group_support,overall_failure_share,overall_support,pattern_id,primary_reason,specificity_lift,summary
sast_test,bandit:B602,User Inputs & Data,Persistent target findings on bandit:B602,User Inputs & Data,CWE-20,0.3333333333333333,1,0.05128205128205128,2,unresolved_target_findings::sast_test:bandit:B602,unresolved_target_findings,6.5,Persistent target findings on bandit:B602 appeared in 1/3 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B602`. Most recurrent unresolved final CWE: `CWE-78`.
generic,,User Inputs & Data,Syntax errors in generated code,User Inputs & Data,CWE-79,0.3333333333333333,1,0.1282051282051282,5,syntax_error,syntax_error,2.6,Syntax errors in generated code appeared in 1/3 failed runs and was most common on `User Inputs & Data` while targeting `CWE-79`.
sast_test,bandit:B301,User Inputs & Data,Persistent target findings on bandit:B301,User Inputs & Data,CWE-20,0.3333333333333333,1,0.1282051282051282,5,unresolved_target_findings::sast_test:bandit:B301,unresolved_target_findings,2.6,Persistent target findings on bandit:B301 appeared in 1/3 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B301`. Most recurrent unresolved final CWE: `CWE-502`.
sast_test,bandit:B701,Web Outputs & Rendering,Off-target findings introduced via bandit:B701,Web Outputs & Rendering,CWE-79,0.3333333333333333,1,0.02564102564102564,1,unresolved_off_target_findings::sast_test:bandit:B701,unresolved_off_target_findings,13.0,Off-target findings introduced via bandit:B701 appeared in 1/3 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-79`. Most recurrent unresolved SAST test: `bandit:B701`. Most recurrent unresolved final CWE: `CWE-94`.
sast_test,bandit:B108,Web Outputs & Rendering,Off-target findings introduced via bandit:B108,Web Outputs & Rendering,CWE-601,0.3333333333333333,1,0.02564102564102564,1,unresolved_off_target_findings::sast_test:bandit:B108,unresolved_off_target_findings,13.0,Off-target findings introduced via bandit:B108 appeared in 1/3 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-601`. Most recurrent unresolved SAST test: `bandit:B108`. Most recurrent unresolved final CWE: `CWE-377`.
sast_test,bandit:B314,Web Outputs & Rendering,Off-target findings introduced via bandit:B314,Web Outputs & Rendering,CWE-611,0.3333333333333333,1,0.05128205128205128,2,unresolved_off_target_findings::sast_test:bandit:B314,unresolved_off_target_findings,6.5,Off-target findings introduced via bandit:B314 appeared in 1/3 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-611`. Most recurrent unresolved SAST test: `bandit:B314`. Most recurrent unresolved final CWE: `CWE-20`.
sast_test,codeql:py/path-injection,Storage & Filesystem,Off-target findings introduced via codeql:py/path-injection,Storage & Filesystem,CWE-20,0.2222222222222222,2,0.05128205128205128,2,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,4.333333333333333,Off-target findings introduced via codeql:py/path-injection appeared in 2/9 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.
sast_test,bandit:B108,Storage & Filesystem,Persistent target findings on bandit:B108,Storage & Filesystem,CWE-89,0.1111111111111111,1,0.02564102564102564,1,unresolved_target_findings::sast_test:bandit:B108,unresolved_target_findings,4.333333333333333,Persistent target findings on bandit:B108 appeared in 1/9 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-89`. Most recurrent unresolved SAST test: `bandit:B108`. Most recurrent unresolved final CWE: `CWE-377`.
sast_test,bandit:B301,Storage & Filesystem,Persistent target findings on bandit:B301,Storage & Filesystem,CWE-502,0.3333333333333333,3,0.1282051282051282,5,unresolved_target_findings::sast_test:bandit:B301,unresolved_target_findings,2.6,Persistent target findings on bandit:B301 appeared in 3/9 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-502`. Most recurrent unresolved SAST test: `bandit:B301`. Most recurrent unresolved final CWE: `CWE-502`.
sast_test,codeql:py/reflective-xss,Storage & Filesystem,Off-target findings introduced via codeql:py/reflective-xss,Storage & Filesystem,CWE-22,0.1111111111111111,1,0.05128205128205128,2,unresolved_off_target_findings::sast_test:codeql:py/reflective-xss,unresolved_off_target_findings,2.1666666666666665,Off-target findings introduced via codeql:py/reflective-xss appeared in 1/9 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-22`. Most recurrent unresolved SAST test: `codeql:py/reflective-xss`. Most recurrent unresolved final CWE: `CWE-79`.
