attack_surface,failed_run_share_within_surface,failed_runs_with_reason,primary_reason,surface_failed_runs,surface_runs
User Inputs & Data,0.0,0,unresolved_off_target_findings,3,17
User Inputs & Data,0.3333333333333333,1,syntax_error,3,17
User Inputs & Data,0.6666666666666666,2,unresolved_target_findings,3,17
User Inputs & Data,0.0,0,no_code,3,17
Web Outputs & Rendering,1.0,3,unresolved_off_target_findings,3,8
Web Outputs & Rendering,0.0,0,syntax_error,3,8
Web Outputs & Rendering,0.0,0,unresolved_target_findings,3,8
Web Outputs & Rendering,0.0,0,no_code,3,8
Storage & Filesystem,0.4444444444444444,4,unresolved_off_target_findings,9,30
Storage & Filesystem,0.0,0,syntax_error,9,30
Storage & Filesystem,0.5555555555555556,5,unresolved_target_findings,9,30
Storage & Filesystem,0.0,0,no_code,9,30
Authentication & Access Control,0.3333333333333333,2,unresolved_off_target_findings,6,21
Authentication & Access Control,0.16666666666666666,1,syntax_error,6,21
Authentication & Access Control,0.5,3,unresolved_target_findings,6,21
Authentication & Access Control,0.0,0,no_code,6,21
Data Exchange & External Services,0.35714285714285715,5,unresolved_off_target_findings,14,52
Data Exchange & External Services,0.21428571428571427,3,syntax_error,14,52
Data Exchange & External Services,0.2857142857142857,4,unresolved_target_findings,14,52
Data Exchange & External Services,0.14285714285714285,2,no_code,14,52
Execution Environment & Infrastructure,0.75,3,unresolved_off_target_findings,4,13
Execution Environment & Infrastructure,0.0,0,syntax_error,4,13
Execution Environment & Infrastructure,0.25,1,unresolved_target_findings,4,13
Execution Environment & Infrastructure,0.0,0,no_code,4,13
