anchor_type,anchor_value,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,failure_share,pattern_id,primary_reason,summary,support
sast_test,codeql:py/path-injection,Off-target findings introduced via codeql:py/path-injection,Storage & Filesystem,CWE-20,0.32926829268292684,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,Off-target findings introduced via codeql:py/path-injection appeared in 27/82 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,27
generic,,Syntax errors in generated code,Authentication & Access Control,CWE-20,0.18292682926829268,syntax_error,syntax_error,Syntax errors in generated code appeared in 15/82 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-20`.,15
sast_test,bandit:B201,Off-target findings introduced via bandit:B201,User Inputs & Data,CWE-20,0.0975609756097561,unresolved_off_target_findings::sast_test:bandit:B201,unresolved_off_target_findings,Off-target findings introduced via bandit:B201 appeared in 8/82 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B201`. Most recurrent unresolved final CWE: `CWE-94`.,8
sast_test,codeql:py/stack-trace-exposure,Off-target findings introduced via codeql:py/stack-trace-exposure,Data Exchange & External Services,CWE-20,0.06097560975609756,unresolved_off_target_findings::sast_test:codeql:py/stack-trace-exposure,unresolved_off_target_findings,Off-target findings introduced via codeql:py/stack-trace-exposure appeared in 5/82 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/stack-trace-exposure`. Most recurrent unresolved final CWE: `CWE-209`.,5
sast_test,codeql:py/reflective-xss,Persistent target findings on codeql:py/reflective-xss,Storage & Filesystem,CWE-20,0.06097560975609756,unresolved_target_findings::sast_test:codeql:py/reflective-xss,unresolved_target_findings,Persistent target findings on codeql:py/reflective-xss appeared in 5/82 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/reflective-xss`. Most recurrent unresolved final CWE: `CWE-79`.,5
sast_test,bandit:B104,Off-target findings introduced via bandit:B104,Execution Environment & Infrastructure,CWE-20,0.036585365853658534,unresolved_off_target_findings::sast_test:bandit:B104,unresolved_off_target_findings,Off-target findings introduced via bandit:B104 appeared in 3/82 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B104`. Most recurrent unresolved final CWE: `CWE-605`.,3
sast_test,bandit:B314,Persistent target findings on bandit:B314,Data Exchange & External Services,CWE-20,0.036585365853658534,unresolved_target_findings::sast_test:bandit:B314,unresolved_target_findings,Persistent target findings on bandit:B314 appeared in 3/82 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B314`. Most recurrent unresolved final CWE: `CWE-20`.,3
sast_test,bandit:B108,Off-target findings introduced via bandit:B108,Authentication & Access Control,CWE-89,0.024390243902439025,unresolved_off_target_findings::sast_test:bandit:B108,unresolved_off_target_findings,Off-target findings introduced via bandit:B108 appeared in 2/82 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-89`. Most recurrent unresolved SAST test: `bandit:B108`. Most recurrent unresolved final CWE: `CWE-377`.,2
sast_test,codeql:py/path-injection,Persistent target findings on codeql:py/path-injection,Storage & Filesystem,CWE-20,0.024390243902439025,unresolved_target_findings::sast_test:codeql:py/path-injection,unresolved_target_findings,Persistent target findings on codeql:py/path-injection appeared in 2/82 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,2
sast_test,semgrep:prismvul.python.subprocess-shell-true,Off-target findings introduced via semgrep:prismvul.python.subprocess-shell-true,Execution Environment & Infrastructure,CWE-79,0.012195121951219513,unresolved_off_target_findings::sast_test:semgrep:prismvul.python.subprocess-shell-true,unresolved_off_target_findings,Off-target findings introduced via semgrep:prismvul.python.subprocess-shell-true appeared in 1/82 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-79`. Most recurrent unresolved SAST test: `semgrep:prismvul.python.subprocess-shell-true`. Most recurrent unresolved final CWE: `CWE-78`.,1
