anchor_type,anchor_value,attack_surface,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,group_failure_share,group_support,overall_failure_share,overall_support,pattern_id,primary_reason,specificity_lift,summary
sast_test,codeql:py/weak-sensitive-data-hashing,User Inputs & Data,Off-target findings introduced via codeql:py/weak-sensitive-data-hashing,User Inputs & Data,CWE-20,0.07692307692307693,1,0.012195121951219513,1,unresolved_off_target_findings::sast_test:codeql:py/weak-sensitive-data-hashing,unresolved_off_target_findings,6.3076923076923075,Off-target findings introduced via codeql:py/weak-sensitive-data-hashing appeared in 1/13 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/weak-sensitive-data-hashing`. Most recurrent unresolved final CWE: `CWE-327`.
sast_test,bandit:B201,User Inputs & Data,Off-target findings introduced via bandit:B201,User Inputs & Data,CWE-20,0.3076923076923077,4,0.0975609756097561,8,unresolved_off_target_findings::sast_test:bandit:B201,unresolved_off_target_findings,3.1538461538461537,Off-target findings introduced via bandit:B201 appeared in 4/13 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B201`. Most recurrent unresolved final CWE: `CWE-94`.
sast_test,codeql:py/stack-trace-exposure,User Inputs & Data,Off-target findings introduced via codeql:py/stack-trace-exposure,User Inputs & Data,CWE-20,0.07692307692307693,1,0.06097560975609756,5,unresolved_off_target_findings::sast_test:codeql:py/stack-trace-exposure,unresolved_off_target_findings,1.2615384615384617,Off-target findings introduced via codeql:py/stack-trace-exposure appeared in 1/13 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/stack-trace-exposure`. Most recurrent unresolved final CWE: `CWE-209`.
sast_test,codeql:py/path-injection,User Inputs & Data,Off-target findings introduced via codeql:py/path-injection,User Inputs & Data,CWE-20,0.38461538461538464,5,0.32926829268292684,27,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,1.168091168091168,Off-target findings introduced via codeql:py/path-injection appeared in 5/13 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.
generic,,User Inputs & Data,Syntax errors in generated code,User Inputs & Data,CWE-20,0.15384615384615385,2,0.18292682926829268,15,syntax_error,syntax_error,0.8410256410256411,Syntax errors in generated code appeared in 2/13 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`.
sast_test,bandit:B608,Web Outputs & Rendering,Persistent target findings on bandit:B608,Web Outputs & Rendering,CWE-20,0.2,1,0.012195121951219513,1,unresolved_target_findings::sast_test:bandit:B608,unresolved_target_findings,16.4,Persistent target findings on bandit:B608 appeared in 1/5 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B608`. Most recurrent unresolved final CWE: `CWE-89`.
sast_test,codeql:py/reflective-xss,Web Outputs & Rendering,Persistent target findings on codeql:py/reflective-xss,Web Outputs & Rendering,CWE-20,0.2,1,0.06097560975609756,5,unresolved_target_findings::sast_test:codeql:py/reflective-xss,unresolved_target_findings,3.2800000000000002,Persistent target findings on codeql:py/reflective-xss appeared in 1/5 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/reflective-xss`. Most recurrent unresolved final CWE: `CWE-79`.
sast_test,bandit:B201,Web Outputs & Rendering,Off-target findings introduced via bandit:B201,Web Outputs & Rendering,CWE-20,0.2,1,0.0975609756097561,8,unresolved_off_target_findings::sast_test:bandit:B201,unresolved_off_target_findings,2.05,Off-target findings introduced via bandit:B201 appeared in 1/5 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B201`. Most recurrent unresolved final CWE: `CWE-94`.
generic,,Web Outputs & Rendering,Syntax errors in generated code,Web Outputs & Rendering,CWE-20,0.2,1,0.18292682926829268,15,syntax_error,syntax_error,1.0933333333333335,Syntax errors in generated code appeared in 1/5 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-20`.
sast_test,codeql:py/path-injection,Web Outputs & Rendering,Off-target findings introduced via codeql:py/path-injection,Web Outputs & Rendering,CWE-20,0.2,1,0.32926829268292684,27,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,0.6074074074074074,Off-target findings introduced via codeql:py/path-injection appeared in 1/5 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.
