attack_surface,attempts_executed,combo_size,concepts,condition_axis,depth,detail,difficulty,final_agent_role,final_cwe_ids,final_test_ids,first_test_ids,fixer_attempts,introduced_test_ids,judge_error,judge_functionality_score,judge_is_secure,judge_overall_risk,judge_security_score,judge_target_cwe_risk,node_id,node_signature_hash,persistent_test_ids,phase,primary_reason,resolved_test_ids,run_index,sast_error,success,syntax_ok_final,target_cwes,total_false_positives,total_issues,total_issues_raw
Web Outputs & Rendering,2,1,CWE-79,Web Outputs & Rendering,0,,unknown,security_fixer,,,bandit:B201,1,,,1.0,True,0.0,1.0,0.0,126049520020576,0199b8714cb2f5fe,,1,success_after_fixer,bandit:B201,1,False,True,True,CWE-79,0,0,0
Web Outputs & Rendering,1,1,CWE-89,Web Outputs & Rendering,0,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,126049520203152,e3c2db0e81df8a06,,1,success_first_try,,1,False,True,True,CWE-89,0,0,0
Web Outputs & Rendering,1,1,CWE-22,Web Outputs & Rendering,0,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,126049520203440,683483fe56c3adf6,,1,success_first_try,,1,False,True,True,CWE-22,0,0,0
Web Outputs & Rendering,1,1,CWE-502,Web Outputs & Rendering,0,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,126049520020672,fbec3b3e49581fdf,,1,success_first_try,,1,False,True,True,CWE-502,0,0,0
Web Outputs & Rendering,1,1,CWE-287,Web Outputs & Rendering,0,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,126049520141376,2aea3b7daf823322,,1,success_first_try,,1,False,True,True,CWE-287,0,0,0
Execution Environment & Infrastructure,2,1,CWE-79,Execution Environment & Infrastructure,0,test_id=semgrep:prismvul.python.subprocess-shell-true | cwe_id=CWE-78 | severity=HIGH | confidence=HIGH | line=6 | desc=subprocess with shell=True can enable command injection; avoid shell=True and pass args as a list.,unknown,security_fixer,CWE-78,semgrep:prismvul.python.subprocess-shell-true,semgrep:prismvul.python.subprocess-shell-true,1,,,1.0,False,1.0,0.0,1.0,126049517421632,0199b8714cb2f5fe,semgrep:prismvul.python.subprocess-shell-true,1,unresolved_off_target_findings,,1,False,False,True,CWE-79,0,3,3
Execution Environment & Infrastructure,1,1,CWE-89,Execution Environment & Infrastructure,0,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,126049518857984,e3c2db0e81df8a06,,1,success_first_try,,1,False,True,True,CWE-89,0,0,0
Execution Environment & Infrastructure,1,1,CWE-22,Execution Environment & Infrastructure,0,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,126049517422112,683483fe56c3adf6,,1,success_first_try,,1,False,True,True,CWE-22,0,0,0
Execution Environment & Infrastructure,3,1,CWE-502,Execution Environment & Infrastructure,0,"test_id=bandit:B605 | cwe_id=CWE-78 | severity=HIGH | confidence=HIGH | line=20 | desc=Starting a process with a shell, possible injection detected, security issue.",unknown,security_fixer,CWE-78,bandit:B605,bandit:B605,2,,,1.0,False,1.0,0.0,1.0,126049517771504,fbec3b3e49581fdf,bandit:B605,1,unresolved_off_target_findings,,1,False,False,True,CWE-502,0,1,1
Execution Environment & Infrastructure,1,1,CWE-287,Execution Environment & Infrastructure,0,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,126049518858800,2aea3b7daf823322,,1,success_first_try,,1,False,True,True,CWE-287,0,0,0
User Inputs & Data,1,1,CWE-79,User Inputs & Data,0,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,126049516390544,0199b8714cb2f5fe,,1,success_first_try,,1,False,True,True,CWE-79,0,0,0
User Inputs & Data,3,1,CWE-22,User Inputs & Data,0,,unknown,security_fixer,,,bandit:B201|codeql:py/sql-injection,2,,,1.0,True,0.0,1.0,0.0,126049516391024,683483fe56c3adf6,,1,success_after_fixer,bandit:B201|codeql:py/sql-injection,1,False,True,True,CWE-22,0,0,0
User Inputs & Data,1,1,CWE-502,User Inputs & Data,0,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,126049517778752,fbec3b3e49581fdf,,1,success_first_try,,1,False,True,True,CWE-502,0,0,0
User Inputs & Data,1,1,CWE-287,User Inputs & Data,0,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,126049516721872,2aea3b7daf823322,,1,success_first_try,,1,False,True,True,CWE-287,0,0,0
Authentication & Access Control,2,1,CWE-79,Authentication & Access Control,0,,unknown,security_fixer,,,bandit:B201,1,,,1.0,True,0.0,1.0,0.0,126049515362336,0199b8714cb2f5fe,,1,success_after_fixer,bandit:B201,1,False,True,True,CWE-79,0,0,0
Authentication & Access Control,3,1,CWE-89,Authentication & Access Control,0,test_id=bandit:B108 | cwe_id=CWE-377 | severity=MEDIUM | confidence=MEDIUM | line=7 | desc=Probable insecure usage of temp file/directory.,unknown,security_fixer,CWE-377,bandit:B108,bandit:B108|bandit:B201,2,,,1.0,False,1.0,0.0,1.0,126049515636064,e3c2db0e81df8a06,bandit:B108,1,unresolved_off_target_findings,bandit:B201,1,False,False,True,CWE-89,0,1,1
Authentication & Access Control,2,1,CWE-22,Authentication & Access Control,0,,unknown,security_fixer,,,bandit:B201,1,,,1.0,True,0.0,1.0,0.0,126049515998576,683483fe56c3adf6,,1,success_after_fixer,bandit:B201,1,False,True,True,CWE-22,0,0,0
Authentication & Access Control,1,1,CWE-502,Authentication & Access Control,0,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,126049515636400,fbec3b3e49581fdf,,1,success_first_try,,1,False,True,True,CWE-502,0,0,0
Authentication & Access Control,2,1,CWE-287,Authentication & Access Control,0,,unknown,security_fixer,,,codeql:py/weak-sensitive-data-hashing,1,,,1.0,True,0.0,1.0,0.0,126049516731472,2aea3b7daf823322,,1,success_after_fixer,codeql:py/weak-sensitive-data-hashing,1,False,True,True,CWE-287,0,0,0
Storage & Filesystem,1,1,CWE-79,Storage & Filesystem,0,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,126049514570096,0199b8714cb2f5fe,,1,success_first_try,,1,False,True,True,CWE-79,0,0,0
Storage & Filesystem,3,1,CWE-89,Storage & Filesystem,0,test_id=codeql:py/path-injection | cwe_id=CWE-22 | severity=HIGH | confidence=HIGH | line=14 | desc=This path depends on a [user-provided value](1).,unknown,security_fixer,CWE-22,codeql:py/path-injection,codeql:py/path-injection,2,,,1.0,False,1.0,0.0,1.0,126049514580656,e3c2db0e81df8a06,codeql:py/path-injection,1,unresolved_off_target_findings,,1,False,False,True,CWE-89,0,1,1
Storage & Filesystem,3,1,CWE-502,Storage & Filesystem,0,,unknown,security_fixer,,,codeql:py/path-injection,2,,,1.0,True,0.0,1.0,0.0,126049514960944,fbec3b3e49581fdf,,1,success_after_fixer,codeql:py/path-injection,1,False,True,True,CWE-502,0,0,0
Storage & Filesystem,3,1,CWE-287,Storage & Filesystem,0,"test_id=bandit:B201 | cwe_id=CWE-94 | severity=HIGH | confidence=HIGH | line=70 | desc=A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",unknown,security_fixer,CWE-22|CWE-605|CWE-94,bandit:B104|bandit:B201|codeql:py/path-injection,bandit:B104|bandit:B201|codeql:py/path-injection,2,,,1.0,False,1.0,0.0,1.0,126049512697888,2aea3b7daf823322,bandit:B104|bandit:B201|codeql:py/path-injection,1,unresolved_off_target_findings,,1,False,False,True,CWE-287,0,6,7
Data Exchange & External Services,1,1,CWE-79,Data Exchange & External Services,0,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,126049513447136,0199b8714cb2f5fe,,1,success_first_try,,1,False,True,True,CWE-79,0,0,0
Data Exchange & External Services,1,1,CWE-22,Data Exchange & External Services,0,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,126049511750592,683483fe56c3adf6,,1,success_first_try,,1,False,True,True,CWE-22,0,0,0
Data Exchange & External Services,1,1,CWE-502,Data Exchange & External Services,0,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,126049512042768,fbec3b3e49581fdf,,1,success_first_try,,1,False,True,True,CWE-502,0,0,0
Data Exchange & External Services,3,1,CWE-287,Data Exchange & External Services,0,test_id=codeql:py/stack-trace-exposure | cwe_id=CWE-209 | severity=HIGH | confidence=HIGH | line=31 | desc=[Stack trace information](1) flows to this location and may be exposed to an external user.,unknown,security_fixer,CWE-209,codeql:py/stack-trace-exposure,codeql:py/stack-trace-exposure,2,,,1.0,False,1.0,0.0,1.0,126049512383136,2aea3b7daf823322,codeql:py/stack-trace-exposure,1,unresolved_off_target_findings,,1,False,False,True,CWE-287,0,1,1
Web Outputs & Rendering,1,2,CWE-20|CWE-78,Web Outputs & Rendering,1,,unknown,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,126049535774016,1cda86f2609cda98,,1,success_first_try,,1,False,True,True,CWE-20|CWE-78,0,0,0
User Inputs & Data,2,2,CWE-20|CWE-78,User Inputs & Data,1,,unknown,security_fixer,,,bandit:B201,1,,,1.0,True,0.0,1.0,0.0,126049517778416,1cda86f2609cda98,,1,success_after_fixer,bandit:B201,1,False,True,True,CWE-20|CWE-78,0,0,0
