anchor_type,anchor_value,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,group_failure_share,group_support,overall_failure_share,overall_support,pattern_id,primary_reason,specificity_lift,summary,target_cwe
generic,,Syntax errors in generated code,Authentication & Access Control,CWE-20,0.19736842105263158,15,0.18292682926829268,15,syntax_error,syntax_error,1.0789473684210527,Syntax errors in generated code appeared in 15/76 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-20`.,CWE-20
sast_test,codeql:py/reflective-xss,Persistent target findings on codeql:py/reflective-xss,Storage & Filesystem,CWE-20,0.06578947368421052,5,0.06097560975609756,5,unresolved_target_findings::sast_test:codeql:py/reflective-xss,unresolved_target_findings,1.0789473684210527,Persistent target findings on codeql:py/reflective-xss appeared in 5/76 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/reflective-xss`. Most recurrent unresolved final CWE: `CWE-79`.,CWE-20
sast_test,bandit:B314,Persistent target findings on bandit:B314,Data Exchange & External Services,CWE-20,0.039473684210526314,3,0.036585365853658534,3,unresolved_target_findings::sast_test:bandit:B314,unresolved_target_findings,1.0789473684210527,Persistent target findings on bandit:B314 appeared in 3/76 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B314`. Most recurrent unresolved final CWE: `CWE-20`.,CWE-20
sast_test,bandit:B201,Off-target findings introduced via bandit:B201,User Inputs & Data,CWE-20,0.10526315789473684,8,0.0975609756097561,8,unresolved_off_target_findings::sast_test:bandit:B201,unresolved_off_target_findings,1.0789473684210524,Off-target findings introduced via bandit:B201 appeared in 8/76 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B201`. Most recurrent unresolved final CWE: `CWE-94`.,CWE-20
sast_test,codeql:py/path-injection,Persistent target findings on codeql:py/path-injection,Storage & Filesystem,CWE-20,0.02631578947368421,2,0.024390243902439025,2,unresolved_target_findings::sast_test:codeql:py/path-injection,unresolved_target_findings,1.0789473684210524,Persistent target findings on codeql:py/path-injection appeared in 2/76 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,CWE-20
sast_test,codeql:py/path-injection,Persistent target findings on codeql:py/path-injection,Storage & Filesystem,CWE-20,0.25,2,0.024390243902439025,2,unresolved_target_findings::sast_test:codeql:py/path-injection,unresolved_target_findings,10.25,Persistent target findings on codeql:py/path-injection appeared in 2/8 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,CWE-22
sast_test,codeql:py/stack-trace-exposure,Off-target findings introduced via codeql:py/stack-trace-exposure,Data Exchange & External Services,CWE-20,0.25,2,0.06097560975609756,5,unresolved_off_target_findings::sast_test:codeql:py/stack-trace-exposure,unresolved_off_target_findings,4.1000000000000005,Off-target findings introduced via codeql:py/stack-trace-exposure appeared in 2/8 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/stack-trace-exposure`. Most recurrent unresolved final CWE: `CWE-209`.,CWE-22
sast_test,codeql:py/reflective-xss,Persistent target findings on codeql:py/reflective-xss,Data Exchange & External Services,CWE-20,0.125,1,0.06097560975609756,5,unresolved_target_findings::sast_test:codeql:py/reflective-xss,unresolved_target_findings,2.0500000000000003,Persistent target findings on codeql:py/reflective-xss appeared in 1/8 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/reflective-xss`. Most recurrent unresolved final CWE: `CWE-79`.,CWE-22
generic,,Syntax errors in generated code,Authentication & Access Control,CWE-20,0.25,2,0.18292682926829268,15,syntax_error,syntax_error,1.3666666666666667,Syntax errors in generated code appeared in 2/8 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-20`.,CWE-22
sast_test,bandit:B201,Off-target findings introduced via bandit:B201,Authentication & Access Control,CWE-20,0.125,1,0.0975609756097561,8,unresolved_off_target_findings::sast_test:bandit:B201,unresolved_off_target_findings,1.28125,Off-target findings introduced via bandit:B201 appeared in 1/8 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B201`. Most recurrent unresolved final CWE: `CWE-327`.,CWE-22
