attack_surface,failed_run_share_within_surface,failed_runs_with_reason,primary_reason,surface_failed_runs,surface_runs
User Inputs & Data,0.8461538461538461,11,unresolved_off_target_findings,13,44
User Inputs & Data,0.15384615384615385,2,syntax_error,13,44
User Inputs & Data,0.0,0,unresolved_target_findings,13,44
Web Outputs & Rendering,0.4,2,unresolved_off_target_findings,5,50
Web Outputs & Rendering,0.2,1,syntax_error,5,50
Web Outputs & Rendering,0.4,2,unresolved_target_findings,5,50
Storage & Filesystem,0.7857142857142857,22,unresolved_off_target_findings,28,52
Storage & Filesystem,0.07142857142857142,2,syntax_error,28,52
Storage & Filesystem,0.14285714285714285,4,unresolved_target_findings,28,52
Authentication & Access Control,0.42857142857142855,3,unresolved_off_target_findings,7,54
Authentication & Access Control,0.5714285714285714,4,syntax_error,7,54
Authentication & Access Control,0.0,0,unresolved_target_findings,7,54
Data Exchange & External Services,0.5,8,unresolved_off_target_findings,16,50
Data Exchange & External Services,0.125,2,syntax_error,16,50
Data Exchange & External Services,0.375,6,unresolved_target_findings,16,50
Execution Environment & Infrastructure,0.46153846153846156,6,unresolved_off_target_findings,13,44
Execution Environment & Infrastructure,0.3076923076923077,4,syntax_error,13,44
Execution Environment & Infrastructure,0.23076923076923078,3,unresolved_target_findings,13,44
