anchor_type,anchor_value,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,group_failure_share,group_support,overall_failure_share,overall_support,pattern_id,primary_reason,specificity_lift,summary,target_cwe
sast_test,codeql:py/clear-text-logging-sensitive-data,Off-target findings introduced via codeql:py/clear-text-logging-sensitive-data,Execution Environment & Infrastructure,CWE-20,0.06666666666666667,1,0.02,1,unresolved_off_target_findings::sast_test:codeql:py/clear-text-logging-sensitive-data,unresolved_off_target_findings,3.333333333333333,Off-target findings introduced via codeql:py/clear-text-logging-sensitive-data appeared in 1/15 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/clear-text-logging-sensitive-data`. Most recurrent unresolved final CWE: `CWE-312`.,CWE-20
sast_test,bandit:B201,Off-target findings introduced via bandit:B201,Storage & Filesystem,CWE-20,0.06666666666666667,1,0.02,1,unresolved_off_target_findings::sast_test:bandit:B201,unresolved_off_target_findings,3.333333333333333,Off-target findings introduced via bandit:B201 appeared in 1/15 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B201`. Most recurrent unresolved final CWE: `CWE-94`.,CWE-20
sast_test,bandit:B314,Persistent target findings on bandit:B314,Data Exchange & External Services,CWE-20,0.06666666666666667,1,0.02,1,unresolved_target_findings::sast_test:bandit:B314,unresolved_target_findings,3.333333333333333,Persistent target findings on bandit:B314 appeared in 1/15 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B314`. Most recurrent unresolved final CWE: `CWE-20`.,CWE-20
sast_test,codeql:py/reflective-xss,Persistent target findings on codeql:py/reflective-xss,Authentication & Access Control,CWE-20,0.06666666666666667,1,0.02,1,unresolved_target_findings::sast_test:codeql:py/reflective-xss,unresolved_target_findings,3.333333333333333,Persistent target findings on codeql:py/reflective-xss appeared in 1/15 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/reflective-xss`. Most recurrent unresolved final CWE: `CWE-79`.,CWE-20
generic,,Syntax errors in generated code,Storage & Filesystem,CWE-20,0.4,6,0.26,13,syntax_error,syntax_error,1.5384615384615385,Syntax errors in generated code appeared in 6/15 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`.,CWE-20
sast_test,bandit:B108,Persistent target findings on bandit:B108,Storage & Filesystem,CWE-22,0.125,1,0.02,1,unresolved_target_findings::sast_test:bandit:B108,unresolved_target_findings,6.25,Persistent target findings on bandit:B108 appeared in 1/8 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-22`. Most recurrent unresolved SAST test: `bandit:B108`. Most recurrent unresolved final CWE: `CWE-209`.,CWE-22
sast_test,codeql:py/path-injection,Persistent target findings on codeql:py/path-injection,Storage & Filesystem,CWE-22,0.75,6,0.14,7,unresolved_target_findings::sast_test:codeql:py/path-injection,unresolved_target_findings,5.357142857142857,Persistent target findings on codeql:py/path-injection appeared in 6/8 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-22`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,CWE-22
generic,,Syntax errors in generated code,Storage & Filesystem,CWE-22,0.125,1,0.26,13,syntax_error,syntax_error,0.4807692307692307,Syntax errors in generated code appeared in 1/8 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-22`.,CWE-22
sast_test,bandit:B301,Off-target findings introduced via bandit:B301,Authentication & Access Control,CWE-287,0.05263157894736842,1,0.02,1,unresolved_off_target_findings::sast_test:bandit:B301,unresolved_off_target_findings,2.631578947368421,Off-target findings introduced via bandit:B301 appeared in 1/19 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-287`. Most recurrent unresolved SAST test: `bandit:B301`. Most recurrent unresolved final CWE: `CWE-502`.,CWE-287
sast_test,bandit:B108,Persistent target findings on bandit:B108,Storage & Filesystem,CWE-22,0.05263157894736842,1,0.02,1,unresolved_target_findings::sast_test:bandit:B108,unresolved_target_findings,2.631578947368421,Persistent target findings on bandit:B108 appeared in 1/19 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-22`. Most recurrent unresolved SAST test: `bandit:B108`. Most recurrent unresolved final CWE: `CWE-209`.,CWE-287
