anchor_type,anchor_value,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,failure_share,pattern_id,primary_reason,summary,support
generic,,Syntax errors in generated code,Execution Environment & Infrastructure,CWE-20,0.26,syntax_error,syntax_error,Syntax errors in generated code appeared in 13/50 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-20`.,13
sast_test,codeql:py/path-injection,Off-target findings introduced via codeql:py/path-injection,Storage & Filesystem,CWE-79,0.2,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,Off-target findings introduced via codeql:py/path-injection appeared in 10/50 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-79`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,10
sast_test,codeql:py/path-injection,Persistent target findings on codeql:py/path-injection,Storage & Filesystem,CWE-22,0.14,unresolved_target_findings::sast_test:codeql:py/path-injection,unresolved_target_findings,Persistent target findings on codeql:py/path-injection appeared in 7/50 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-22`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,7
sast_test,codeql:py/polynomial-redos,Off-target findings introduced via codeql:py/polynomial-redos,User Inputs & Data,CWE-502,0.08,unresolved_off_target_findings::sast_test:codeql:py/polynomial-redos,unresolved_off_target_findings,Off-target findings introduced via codeql:py/polynomial-redos appeared in 4/50 failed runs and was most common on `User Inputs & Data` while targeting `CWE-502`. Most recurrent unresolved SAST test: `codeql:py/polynomial-redos`. Most recurrent unresolved final CWE: `CWE-1333`.,4
sast_test,codeql:py/url-redirection,Off-target findings introduced via codeql:py/url-redirection,Storage & Filesystem,CWE-287,0.04,unresolved_off_target_findings::sast_test:codeql:py/url-redirection,unresolved_off_target_findings,Off-target findings introduced via codeql:py/url-redirection appeared in 2/50 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-287`. Most recurrent unresolved SAST test: `codeql:py/url-redirection`. Most recurrent unresolved final CWE: `CWE-601`.,2
sast_test,codeql:py/stack-trace-exposure,Off-target findings introduced via codeql:py/stack-trace-exposure,Data Exchange & External Services,CWE-502,0.04,unresolved_off_target_findings::sast_test:codeql:py/stack-trace-exposure,unresolved_off_target_findings,Off-target findings introduced via codeql:py/stack-trace-exposure appeared in 2/50 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-502`. Most recurrent unresolved SAST test: `codeql:py/stack-trace-exposure`. Most recurrent unresolved final CWE: `CWE-209`.,2
sast_test,bandit:B108,Off-target findings introduced via bandit:B108,Storage & Filesystem,CWE-502,0.02,unresolved_off_target_findings::sast_test:bandit:B108,unresolved_off_target_findings,Off-target findings introduced via bandit:B108 appeared in 1/50 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-502`. Most recurrent unresolved SAST test: `bandit:B108`. Most recurrent unresolved final CWE: `CWE-22`.,1
sast_test,bandit:B314,Off-target findings introduced via bandit:B314,Data Exchange & External Services,CWE-79,0.02,unresolved_off_target_findings::sast_test:bandit:B314,unresolved_off_target_findings,Off-target findings introduced via bandit:B314 appeared in 1/50 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-79`. Most recurrent unresolved SAST test: `bandit:B314`. Most recurrent unresolved final CWE: `CWE-20`.,1
sast_test,codeql:py/clear-text-logging-sensitive-data,Off-target findings introduced via codeql:py/clear-text-logging-sensitive-data,Execution Environment & Infrastructure,CWE-20,0.02,unresolved_off_target_findings::sast_test:codeql:py/clear-text-logging-sensitive-data,unresolved_off_target_findings,Off-target findings introduced via codeql:py/clear-text-logging-sensitive-data appeared in 1/50 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/clear-text-logging-sensitive-data`. Most recurrent unresolved final CWE: `CWE-312`.,1
sast_test,bandit:B201,Off-target findings introduced via bandit:B201,Storage & Filesystem,CWE-20,0.02,unresolved_off_target_findings::sast_test:bandit:B201,unresolved_off_target_findings,Off-target findings introduced via bandit:B201 appeared in 1/50 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B201`. Most recurrent unresolved final CWE: `CWE-94`.,1
