attack_surface,failed_run_share_within_surface,failed_runs_with_reason,primary_reason,surface_failed_runs,surface_runs
User Inputs & Data,0.14285714285714285,1,syntax_error,7,16
User Inputs & Data,0.7142857142857143,5,unresolved_off_target_findings,7,16
User Inputs & Data,0.0,0,unresolved_target_findings,7,16
User Inputs & Data,0.14285714285714285,1,no_code,7,16
Web Outputs & Rendering,1.0,1,syntax_error,1,4
Web Outputs & Rendering,0.0,0,unresolved_off_target_findings,1,4
Web Outputs & Rendering,0.0,0,unresolved_target_findings,1,4
Web Outputs & Rendering,0.0,0,no_code,1,4
Storage & Filesystem,0.16,4,syntax_error,25,36
Storage & Filesystem,0.52,13,unresolved_off_target_findings,25,36
Storage & Filesystem,0.32,8,unresolved_target_findings,25,36
Storage & Filesystem,0.0,0,no_code,25,36
Authentication & Access Control,0.2,1,syntax_error,5,29
Authentication & Access Control,0.6,3,unresolved_off_target_findings,5,29
Authentication & Access Control,0.2,1,unresolved_target_findings,5,29
Authentication & Access Control,0.0,0,no_code,5,29
Data Exchange & External Services,0.3333333333333333,2,syntax_error,6,14
Data Exchange & External Services,0.5,3,unresolved_off_target_findings,6,14
Data Exchange & External Services,0.16666666666666666,1,unresolved_target_findings,6,14
Data Exchange & External Services,0.0,0,no_code,6,14
Execution Environment & Infrastructure,0.6666666666666666,4,syntax_error,6,14
Execution Environment & Infrastructure,0.3333333333333333,2,unresolved_off_target_findings,6,14
Execution Environment & Infrastructure,0.0,0,unresolved_target_findings,6,14
Execution Environment & Infrastructure,0.0,0,no_code,6,14
