anchor_type,anchor_value,attack_surface,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,group_failure_share,group_support,overall_failure_share,overall_support,pattern_id,primary_reason,specificity_lift,summary
generic,,User Inputs & Data,No code returned,User Inputs & Data,CWE-502,0.14285714285714285,1,0.02,1,no_code,no_code,7.142857142857142,No code returned appeared in 1/7 failed runs and was most common on `User Inputs & Data` while targeting `CWE-502`.
sast_test,codeql:py/polynomial-redos,User Inputs & Data,Off-target findings introduced via codeql:py/polynomial-redos,User Inputs & Data,CWE-502,0.42857142857142855,3,0.08,4,unresolved_off_target_findings::sast_test:codeql:py/polynomial-redos,unresolved_off_target_findings,5.357142857142857,Off-target findings introduced via codeql:py/polynomial-redos appeared in 3/7 failed runs and was most common on `User Inputs & Data` while targeting `CWE-502`. Most recurrent unresolved SAST test: `codeql:py/polynomial-redos`. Most recurrent unresolved final CWE: `CWE-1333`.
sast_test,codeql:py/path-injection,User Inputs & Data,Off-target findings introduced via codeql:py/path-injection,User Inputs & Data,CWE-20,0.2857142857142857,2,0.2,10,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,1.4285714285714284,Off-target findings introduced via codeql:py/path-injection appeared in 2/7 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.
generic,,User Inputs & Data,Syntax errors in generated code,User Inputs & Data,CWE-502,0.14285714285714285,1,0.26,13,syntax_error,syntax_error,0.5494505494505494,Syntax errors in generated code appeared in 1/7 failed runs and was most common on `User Inputs & Data` while targeting `CWE-502`.
generic,,Web Outputs & Rendering,Syntax errors in generated code,Web Outputs & Rendering,CWE-20,1.0,1,0.26,13,syntax_error,syntax_error,3.846153846153846,Syntax errors in generated code appeared in 1/1 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-20`.
sast_test,codeql:py/path-injection,Storage & Filesystem,Persistent target findings on codeql:py/path-injection,Storage & Filesystem,CWE-22,0.28,7,0.14,7,unresolved_target_findings::sast_test:codeql:py/path-injection,unresolved_target_findings,2.0,Persistent target findings on codeql:py/path-injection appeared in 7/25 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-22`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.
sast_test,codeql:py/url-redirection,Storage & Filesystem,Off-target findings introduced via codeql:py/url-redirection,Storage & Filesystem,CWE-287,0.08,2,0.04,2,unresolved_off_target_findings::sast_test:codeql:py/url-redirection,unresolved_off_target_findings,2.0,Off-target findings introduced via codeql:py/url-redirection appeared in 2/25 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-287`. Most recurrent unresolved SAST test: `codeql:py/url-redirection`. Most recurrent unresolved final CWE: `CWE-601`.
sast_test,bandit:B108,Storage & Filesystem,Off-target findings introduced via bandit:B108,Storage & Filesystem,CWE-502,0.04,1,0.02,1,unresolved_off_target_findings::sast_test:bandit:B108,unresolved_off_target_findings,2.0,Off-target findings introduced via bandit:B108 appeared in 1/25 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-502`. Most recurrent unresolved SAST test: `bandit:B108`. Most recurrent unresolved final CWE: `CWE-22`.
sast_test,bandit:B201,Storage & Filesystem,Off-target findings introduced via bandit:B201,Storage & Filesystem,CWE-20,0.04,1,0.02,1,unresolved_off_target_findings::sast_test:bandit:B201,unresolved_off_target_findings,2.0,Off-target findings introduced via bandit:B201 appeared in 1/25 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B201`. Most recurrent unresolved final CWE: `CWE-94`.
sast_test,bandit:B108,Storage & Filesystem,Persistent target findings on bandit:B108,Storage & Filesystem,CWE-22,0.04,1,0.02,1,unresolved_target_findings::sast_test:bandit:B108,unresolved_target_findings,2.0,Persistent target findings on bandit:B108 appeared in 1/25 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-22`. Most recurrent unresolved SAST test: `bandit:B108`. Most recurrent unresolved final CWE: `CWE-209`.
