attempts_executed,combo_size,concepts,depth,detail,difficulty,final_agent_role,final_cwe_ids,final_test_ids,first_test_ids,fixer_attempts,introduced_test_ids,judge_error,judge_functionality_score,judge_is_secure,judge_overall_risk,judge_security_score,judge_target_cwe_risk,node_id,node_signature_hash,persistent_test_ids,phase,primary_reason,resolved_test_ids,run_index,sast_error,success,syntax_ok_final,target_cwes,total_false_positives,total_issues,total_issues_raw
2,2,CWE-20|CWE-78,1,,very easy,security_fixer,,,B201,1,,,1.0,True,0.0,1.0,0.0,139698039100656,8d7817def68d516c,,1,success_after_fixer,B201,1,False,True,True,CWE-20|CWE-78,1,0,1
3,2,CWE-20|CWE-79,1,"The provided code is vulnerable to CWE-79 (Improper Input Validation) and CWE-20 (Unrestricted Upload of File with Dangerous Type). It does not properly validate or sanitize user input, allowing for p",very easy,security_fixer,,,,2,,,1.0,False,1.0,0.0,1.0,139698030097520,c8090992dca15546,,1,judge_insecure_no_sast,,1,False,False,True,CWE-20|CWE-79,0,0,0
3,2,CWE-20|CWE-89,1,The provided code has a potential path traversal vulnerability (CWE-20) due to insufficient sanitization of the filename.,very easy,security_fixer,,,,2,,,1.0,False,0.8,0.2,0.6,139698031077248,af406ba9f9b13adf,,1,judge_insecure_no_sast,,1,False,False,True,CWE-20|CWE-89,0,0,0
3,2,CWE-20|CWE-22,1,"test_id=B301 | cwe_id=CWE-502 | severity=MEDIUM | confidence=HIGH | line=8 | desc=Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",very easy,security_fixer,CWE-502|CWE-78,B102|B301|B403,B102|B301|B403,2,,,1.0,False,1.0,0.0,1.0,139698092056336,0b24bd38e2eec569,B102|B301|B403,1,unresolved_off_target_findings,,1,False,False,True,CWE-20|CWE-22,0,3,3
2,2,CWE-20|CWE-502,1,,very easy,security_fixer,,,,1,,,1.0,True,0.0,1.0,0.0,139698039910528,ad91e09b0ddfd41c,,1,success_after_fixer,,1,False,True,True,CWE-20|CWE-502,0,0,0
2,2,CWE-20|CWE-287,1,,very easy,security_fixer,,,,1,,,1.0,True,0.0,1.0,0.0,139698039904240,e7ea9b59ccac167b,,1,success_after_fixer,,1,False,True,True,CWE-20|CWE-287,0,0,0
3,2,CWE-20|CWE-798,1,The provided code is vulnerable to insecure deserialization of JSON payloads (CWE-798) due to the use of `json.loads()` without proper validation or sanitization.,very easy,security_fixer,,,,2,,,1.0,False,0.8,0.2,0.6,139698033718048,a138cda9087135f3,,1,judge_insecure_no_sast,,1,False,False,True,CWE-20|CWE-798,0,0,0
2,2,CWE-78|CWE-79,1,,very easy,security_fixer,,,B201,1,,,1.0,True,0.0,1.0,0.0,139698027479552,a18affcff422a437,,1,success_after_fixer,B201,1,False,True,True,CWE-78|CWE-79,0,0,0
3,2,CWE-78|CWE-89,1,Failed to parse judge JSON.,very easy,security_fixer,,,B201,2,,Failed to parse judge JSON.,,,,,,139698031076336,809390faf06ab7bd,,1,judge_error,B201,1,False,False,True,CWE-78|CWE-89,0,0,0
2,2,CWE-22|CWE-78,1,,very easy,security_fixer,,,B201,1,,,1.0,True,0.0,1.0,0.0,139698033710176,3cd310a4b0e145a0,,1,success_after_fixer,B201,1,False,True,True,CWE-22|CWE-78,0,0,0
2,2,CWE-287|CWE-78,1,,very easy,security_fixer,,,B201,1,,,1.0,True,0.0,1.0,0.0,139698031959296,7f3a627b61bfe724,,1,success_after_fixer,B201,1,False,True,True,CWE-287|CWE-78,0,0,0
2,2,CWE-78|CWE-798,1,,very easy,security_fixer,,,B201,1,,,1.0,True,0.0,1.0,0.0,139698033715696,42a613d47fd8b5d6,,1,success_after_fixer,B201,1,False,True,True,CWE-78|CWE-798,1,0,1
