attempts_executed,combo_size,concepts,depth,detail,difficulty,final_agent_role,final_cwe_ids,final_test_ids,first_test_ids,fixer_attempts,introduced_test_ids,judge_error,judge_functionality_score,judge_is_secure,judge_overall_risk,judge_security_score,judge_target_cwe_risk,node_id,node_signature_hash,persistent_test_ids,phase,primary_reason,resolved_test_ids,run_index,sast_error,success,syntax_ok_final,target_cwes,total_false_positives,total_issues,total_issues_raw
1,2,CWE-20|CWE-78,1,,very easy,problem_solver,,,,0,,,0.9,True,0.0,1.0,0.0,139698027650160,8d7817def68d516c,,1,success_first_try,,1,False,True,True,CWE-20|CWE-78,0,0,0
1,2,CWE-20|CWE-79,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698027654432,c8090992dca15546,,1,success_first_try,,1,False,True,True,CWE-20|CWE-79,0,0,0
1,2,CWE-20|CWE-502,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698027180016,ad91e09b0ddfd41c,,1,success_first_try,,1,False,True,True,CWE-20|CWE-502,0,0,0
1,2,CWE-22|CWE-78,1,,very easy,problem_solver,,,,0,,,0.3,True,0.0,1.0,0.0,139698035515632,3cd310a4b0e145a0,,1,success_first_try,,1,False,True,True,CWE-22|CWE-78,0,0,0
1,2,CWE-611|CWE-78,1,,very easy,problem_solver,,,,0,,,0.8,True,0.0,1.0,0.0,139698032426592,96a1306ed2fb136a,,1,success_first_try,,1,False,True,True,CWE-611|CWE-78,0,0,0
2,2,CWE-79|CWE-89,1,,very easy,security_fixer,,,bandit:B201|codeql:py/flask-debug,1,,,0.7,True,0.0,1.0,0.0,139698027169792,a138821b2539abb9,,1,success_after_fixer,bandit:B201|codeql:py/flask-debug,1,False,True,True,CWE-79|CWE-89,0,0,0
1,2,CWE-22|CWE-79,1,,very easy,problem_solver,,,,0,,,0.8,True,0.0,1.0,0.0,139698017817504,6edb4789b6cb6b78,,1,success_first_try,,1,False,True,True,CWE-22|CWE-79,0,0,0
3,2,CWE-502|CWE-79,1,test_id=codeql:py/path-injection | cwe_id=CWE-22 | severity=HIGH | confidence=HIGH | line=37 | desc=This path depends on a [user-provided value](1).,very easy,security_fixer,CWE-22|CWE-601,codeql:py/path-injection|codeql:py/url-redirection,codeql:py/path-injection|codeql:py/url-redirection,2,,,0.8,False,1.0,0.0,1.0,139698091750992,5d015f0a1d5258a7,codeql:py/path-injection|codeql:py/url-redirection,1,unresolved_off_target_findings,,1,False,False,True,CWE-502|CWE-79,0,6,6
1,2,CWE-502|CWE-79,1,,very easy,problem_solver,,,,0,,,0.7,True,0.0,1.0,0.0,139698091750992,5d015f0a1d5258a7,,1,success_first_try,,2,False,True,True,CWE-502|CWE-79,0,0,0
1,2,CWE-79|CWE-798,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698023244496,03c904108d51f4e8,,1,success_first_try,,1,False,True,True,CWE-79|CWE-798,0,0,0
1,2,CWE-611|CWE-79,1,,very easy,problem_solver,,,,0,,,0.6,True,0.0,1.0,0.0,139698035391952,89a9d769a7d96c47,,1,success_first_try,,1,False,True,True,CWE-611|CWE-79,0,0,0
1,2,CWE-601|CWE-79,1,,very easy,security_fixer,,,,1,,,0.6,True,0.0,1.0,0.0,139698041694464,d9794a701861d19c,,1,success_first_try,,1,False,True,True,CWE-601|CWE-79,0,0,0
3,2,CWE-22|CWE-89,1,,very easy,security_fixer,,,codeql:py/path-injection,2,,,0.7,True,0.0,1.0,0.0,139698041687216,0ab72a0ebad5895c,,1,success_after_fixer,codeql:py/path-injection,1,False,True,True,CWE-22|CWE-89,0,0,0
2,2,CWE-611|CWE-89,1,,very easy,security_fixer,,,,1,,,0.8,True,0.0,1.0,0.0,139698027170656,96d6cea4771fd351,,1,success_after_fixer,,1,False,True,True,CWE-611|CWE-89,0,0,0
2,2,CWE-22|CWE-287,1,,very easy,security_fixer,,,codeql:py/path-injection,1,,,1.0,True,0.0,1.0,0.0,139698023888416,28157c94ed3ceae4,,1,success_after_fixer,codeql:py/path-injection,1,False,True,True,CWE-22|CWE-287,0,0,0
2,2,CWE-22|CWE-798,1,,very easy,security_fixer,,,bandit:B102|semgrep:prismvul.python.exec,1,,,0.9,True,0.0,1.0,0.0,139698016006368,0628eadb4242686e,,1,success_after_fixer,bandit:B102|semgrep:prismvul.python.exec,1,False,True,True,CWE-22|CWE-798,0,0,0
2,2,CWE-287|CWE-502,1,,very easy,security_fixer,,,bandit:B201|codeql:py/flask-debug,1,,,0.8,True,0.0,1.0,0.0,139698017274384,eabde7f3036fab82,,1,success_after_fixer,bandit:B201|codeql:py/flask-debug,1,False,True,True,CWE-287|CWE-502,0,0,0
3,2,CWE-502|CWE-798,1,,very easy,security_fixer,,,bandit:B201|codeql:py/flask-debug|codeql:py/path-injection,2,,,0.5,True,0.0,1.0,0.0,139698027658704,13e799ba2c73e721,,1,success_after_fixer,bandit:B201|codeql:py/flask-debug|codeql:py/path-injection,1,False,True,True,CWE-502|CWE-798,0,0,0
