ast_ok,attempts_executed,attempts_till_success,char_len,code_hash,combo_size,concepts,confidence_high,confidence_low,confidence_medium,cyclomatic_approx,depth,difficulty,distinct_bandit_tests,distinct_cwe_findings,distinct_sast_tests,false_positive_count,false_positive_rate,first_attempt_success,fixed_by_security_fixer,functionality_score,has_target_issue,issue_density,issue_weight_sum,issue_weight_sum_off_target,issue_weight_sum_target,issues_best_attempt,issues_delta_first_to_final,issues_final,issues_first_attempt,issues_per_100_loc,judge_functionality_score,judge_is_secure,judge_security_score,loc_nonempty,loc_total,node_id,node_signature,node_signature_hash,node_value,node_visits,num_calls,num_classes,num_functions,num_imports,off_target_issue_count,phase,record_schema_version,risk,risk_best_attempt,risk_combined,risk_delta_first_to_final,risk_final,risk_first_attempt,risk_judge,risk_sast,risk_sast_raw,run_index,sast_error,security_score,severity_high,severity_low,severity_medium,success,total_issues,total_issues_raw
True,2,3,3064,681fc2084db85b37,2,CWE-20|CWE-78,8,0,0,11,1,very easy,4,2,4,0,0.0,False,False,0.4,True,0.09411764705882353,57.0,30.0,27.0,5,-3,8,5,9.411764705882353,0.4,False,0.0,85,105,126765438888960,p=1|depth=1|diff=very easy|concepts=CWE-20|CWE-78,8d7817def68d516c,0.29261379310344826,3,23,0,4,3,4,1,4,0.6551724137931034,0.5454545454545454,0.6551724137931034,-0.10971786833855801,0.6551724137931034,0.5454545454545454,1.0,0.6551724137931034,0.6551724137931034,1,False,0.3448275862068966,4,0,4,False,8,8
True,2,2,652,05bec59d5f588ab4,2,CWE-20|CWE-78,0,0,0,3,1,very easy,0,0,0,0,,False,True,1.0,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,True,1.0,14,18,126765438888960,p=1|depth=1|diff=very easy|concepts=CWE-20|CWE-78,8d7817def68d516c,0.29261379310344826,3,7,1,2,2,0,1,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,2,False,1.0,0,0,0,True,0,0
True,2,2,708,d0ffb89bfcaad37c,2,CWE-20|CWE-79,0,0,0,5,1,very easy,0,0,0,0,,False,True,0.8,False,0.0,0.0,0.0,0.0,0,2,0,2,0.0,0.8,True,1.0,20,25,126765438883440,p=1|depth=1|diff=very easy|concepts=CWE-20|CWE-79,c8090992dca15546,0.4376670000000001,6,9,0,2,3,0,1,4,0.0,0.0,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.0,,1,False,1.0,0,0,0,True,0,0
True,2,2,1021,ad55b402130e553e,2,CWE-20|CWE-89,0,0,0,3,1,very easy,0,0,0,0,,False,True,0.7,False,0.0,0.0,0.0,0.0,0,2,0,2,0.0,0.7,True,1.0,26,35,126765438879888,p=1|depth=1|diff=very easy|concepts=CWE-20|CWE-89,af406ba9f9b13adf,0.393,2,14,0,3,2,0,1,4,0.0,0.0,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.0,,1,False,1.0,0,0,0,True,0,0
True,3,3,2121,f50aa17942f8cb3e,2,CWE-20|CWE-22,1,0,0,7,1,very easy,1,1,1,0,0.0,False,False,0.6,True,0.022222222222222223,11.25,0.0,11.25,1,0,1,1,2.2222222222222223,0.6,False,0.0,45,57,126765439047952,p=1|depth=1|diff=very easy|concepts=CWE-20|CWE-22,0b24bd38e2eec569,0.26727272727272733,1,29,1,3,4,0,1,4,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.2727272727272727,0.2727272727272727,1.0,0.2727272727272727,0.2727272727272727,1,False,0.7272727272727273,1,0,0,False,1,1
True,2,2,912,bc1ab48e4143b219,2,CWE-78|CWE-79,0,0,0,4,1,very easy,0,0,0,0,,False,True,0.8,False,0.0,0.0,0.0,0.0,0,2,0,2,0.0,0.8,True,1.0,23,29,126765438884880,p=1|depth=1|diff=very easy|concepts=CWE-78|CWE-79,a18affcff422a437,0.47641926774300014,11,16,0,1,3,0,1,4,0.0,0.0,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.0,,1,False,1.0,0,0,0,True,0,0
True,2,2,878,ae4f92281a5096ec,2,CWE-78|CWE-89,0,0,0,7,1,very easy,0,0,0,0,,False,True,0.4,False,0.0,0.0,0.0,0.0,0,1,0,1,0.0,0.4,True,1.0,25,30,126765438885072,p=1|depth=1|diff=very easy|concepts=CWE-78|CWE-89,809390faf06ab7bd,0.26016204340540916,12,11,1,3,1,0,1,4,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,,1,False,1.0,0,0,0,True,0,0
True,3,3,1897,c681bfdb1450f67f,2,CWE-22|CWE-78,3,0,0,9,1,very easy,1,1,1,0,0.0,False,False,0.9,True,0.08108108108108109,33.75,0.0,33.75,2,2,3,5,8.108108108108109,0.9,False,0.0,37,50,126765439047088,p=1|depth=1|diff=very easy|concepts=CWE-22|CWE-78,3cd310a4b0e145a0,0.23647058823529413,1,18,0,2,3,0,1,4,0.5294117647058824,0.42857142857142855,0.5294117647058824,0.07714561234329798,0.5294117647058824,0.6065573770491803,1.0,0.5294117647058824,0.5294117647058824,1,False,0.47058823529411764,3,0,0,False,3,3
True,2,2,878,878e7e12de310fdd,2,CWE-502|CWE-78,0,0,0,6,1,very easy,0,0,0,0,,False,True,0.8,False,0.0,0.0,0.0,0.0,0,2,0,2,0.0,0.8,True,1.0,23,29,126765430431744,p=1|depth=1|diff=very easy|concepts=CWE-502|CWE-78,52c76de34385349a,0.5945280000000002,6,13,0,3,2,0,1,4,0.0,0.0,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.0,,1,False,1.0,0,0,0,True,0,0
True,1,1,1032,c0c75972a430d703,2,CWE-287|CWE-78,0,0,0,9,1,very easy,0,0,0,0,,True,False,0.8,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.8,True,1.0,36,45,126765499732848,p=1|depth=1|diff=very easy|concepts=CWE-287|CWE-78,7f3a627b61bfe724,0.2871838078076254,14,12,0,2,2,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,False,1.0,0,0,0,True,0,0
