anchor_type,anchor_value,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,group_failure_share,group_support,overall_failure_share,overall_support,pattern_id,primary_reason,specificity_lift,summary,target_cwe
sast_test,bandit:B404,Persistent target findings on bandit:B404,Execution Environment & Infrastructure,CWE-20,0.078125,5,0.06493506493506493,5,unresolved_target_findings::sast_test:bandit:B404,unresolved_target_findings,1.2031250000000002,Persistent target findings on bandit:B404 appeared in 5/64 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B404`. Most recurrent unresolved final CWE: `CWE-78`.,CWE-20
sast_test,bandit:B105,Off-target findings introduced via bandit:B105,Authentication & Access Control,CWE-20,0.125,8,0.1038961038961039,8,unresolved_off_target_findings::sast_test:bandit:B105,unresolved_off_target_findings,1.203125,Off-target findings introduced via bandit:B105 appeared in 8/64 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B105`. Most recurrent unresolved final CWE: `CWE-259`.,CWE-20
generic,,Syntax errors in generated code,Data Exchange & External Services,CWE-20,0.109375,7,0.09090909090909091,7,syntax_error,syntax_error,1.203125,Syntax errors in generated code appeared in 7/64 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`.,CWE-20
sast_test,bandit:B605,Persistent target findings on bandit:B605,Execution Environment & Infrastructure,CWE-20,0.0625,4,0.05194805194805195,4,unresolved_target_findings::sast_test:bandit:B605,unresolved_target_findings,1.203125,Persistent target findings on bandit:B605 appeared in 4/64 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B605`. Most recurrent unresolved final CWE: `CWE-78`.,CWE-20
sast_test,codeql:py/weak-sensitive-data-hashing,Off-target findings introduced via codeql:py/weak-sensitive-data-hashing,Authentication & Access Control,CWE-20,0.03125,2,0.025974025974025976,2,unresolved_off_target_findings::sast_test:codeql:py/weak-sensitive-data-hashing,unresolved_off_target_findings,1.203125,Off-target findings introduced via codeql:py/weak-sensitive-data-hashing appeared in 2/64 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/weak-sensitive-data-hashing`. Most recurrent unresolved final CWE: `CWE-327`.,CWE-20
sast_test,bandit:B404,Off-target findings introduced via bandit:B404,Execution Environment & Infrastructure,CWE-22,0.06666666666666667,1,0.012987012987012988,1,unresolved_off_target_findings::sast_test:bandit:B404,unresolved_off_target_findings,5.133333333333333,Off-target findings introduced via bandit:B404 appeared in 1/15 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-22`. Most recurrent unresolved SAST test: `bandit:B404`. Most recurrent unresolved final CWE: `CWE-78`.,CWE-22
sast_test,codeql:py/path-injection,Persistent target findings on codeql:py/path-injection,Storage & Filesystem,CWE-20,0.06666666666666667,1,0.012987012987012988,1,unresolved_target_findings::sast_test:codeql:py/path-injection,unresolved_target_findings,5.133333333333333,Persistent target findings on codeql:py/path-injection appeared in 1/15 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,CWE-22
sast_test,bandit:B108,Persistent target findings on bandit:B108,Storage & Filesystem,CWE-20,0.06666666666666667,1,0.012987012987012988,1,unresolved_target_findings::sast_test:bandit:B108,unresolved_target_findings,5.133333333333333,Persistent target findings on bandit:B108 appeared in 1/15 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B108`. Most recurrent unresolved final CWE: `CWE-22`.,CWE-22
sast_test,bandit:B404,Persistent target findings on bandit:B404,Execution Environment & Infrastructure,CWE-20,0.2,3,0.06493506493506493,5,unresolved_target_findings::sast_test:bandit:B404,unresolved_target_findings,3.0800000000000005,Persistent target findings on bandit:B404 appeared in 3/15 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B404`. Most recurrent unresolved final CWE: `CWE-78`.,CWE-22
sast_test,codeql:py/flask-debug,Off-target findings introduced via codeql:py/flask-debug,Authentication & Access Control,CWE-22,0.2,3,0.07792207792207792,6,unresolved_off_target_findings::sast_test:codeql:py/flask-debug,unresolved_off_target_findings,2.566666666666667,Off-target findings introduced via codeql:py/flask-debug appeared in 3/15 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-22`. Most recurrent unresolved SAST test: `codeql:py/flask-debug`. Most recurrent unresolved final CWE: `CWE-215`.,CWE-22
sast_test,semgrep:prismvul.python.eval,Off-target findings introduced via semgrep:prismvul.python.eval,User Inputs & Data,CWE-287,0.0625,1,0.012987012987012988,1,unresolved_off_target_findings::sast_test:semgrep:prismvul.python.eval,unresolved_off_target_findings,4.8125,Off-target findings introduced via semgrep:prismvul.python.eval appeared in 1/16 failed runs and was most common on `User Inputs & Data` while targeting `CWE-287`. Most recurrent unresolved SAST test: `semgrep:prismvul.python.eval`. Most recurrent unresolved final CWE: `CWE-94`.,CWE-287
sast_test,bandit:B105,Persistent target findings on bandit:B105,Execution Environment & Infrastructure,CWE-20,0.0625,1,0.012987012987012988,1,unresolved_target_findings::sast_test:bandit:B105,unresolved_target_findings,4.8125,Persistent target findings on bandit:B105 appeared in 1/16 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B105`. Most recurrent unresolved final CWE: `CWE-259`.,CWE-287
sast_test,bandit:B403,Off-target findings introduced via bandit:B403,User Inputs & Data,CWE-20,0.0625,1,0.012987012987012988,1,unresolved_off_target_findings::sast_test:bandit:B403,unresolved_off_target_findings,4.8125,Off-target findings introduced via bandit:B403 appeared in 1/16 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B403`. Most recurrent unresolved final CWE: `CWE-215`.,CWE-287
sast_test,bandit:B603,Persistent target findings on bandit:B603,Execution Environment & Infrastructure,CWE-20,0.0625,1,0.025974025974025976,2,unresolved_target_findings::sast_test:bandit:B603,unresolved_target_findings,2.40625,Persistent target findings on bandit:B603 appeared in 1/16 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B603`. Most recurrent unresolved final CWE: `CWE-78`.,CWE-287
sast_test,bandit:B314,Persistent target findings on bandit:B314,Data Exchange & External Services,CWE-20,0.0625,1,0.025974025974025976,2,unresolved_target_findings::sast_test:bandit:B314,unresolved_target_findings,2.40625,Persistent target findings on bandit:B314 appeared in 1/16 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B314`. Most recurrent unresolved final CWE: `CWE-20`.,CWE-287
sast_test,bandit:B603,Off-target findings introduced via bandit:B603,Execution Environment & Infrastructure,CWE-502,0.05555555555555555,1,0.012987012987012988,1,unresolved_off_target_findings::sast_test:bandit:B603,unresolved_off_target_findings,4.277777777777778,Off-target findings introduced via bandit:B603 appeared in 1/18 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-502`. Most recurrent unresolved SAST test: `bandit:B603`. Most recurrent unresolved final CWE: `CWE-78`.,CWE-502
sast_test,bandit:B405,Persistent target findings on bandit:B405,Data Exchange & External Services,CWE-20,0.05555555555555555,1,0.012987012987012988,1,unresolved_target_findings::sast_test:bandit:B405,unresolved_target_findings,4.277777777777778,Persistent target findings on bandit:B405 appeared in 1/18 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B405`. Most recurrent unresolved final CWE: `CWE-20`.,CWE-502
sast_test,bandit:B605,Persistent target findings on bandit:B605,Execution Environment & Infrastructure,CWE-20,0.16666666666666666,3,0.05194805194805195,4,unresolved_target_findings::sast_test:bandit:B605,unresolved_target_findings,3.208333333333333,Persistent target findings on bandit:B605 appeared in 3/18 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B605`. Most recurrent unresolved final CWE: `CWE-78`.,CWE-502
sast_test,codeql:py/path-injection,Off-target findings introduced via codeql:py/path-injection,Storage & Filesystem,CWE-502,0.2222222222222222,4,0.1038961038961039,8,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,2.138888888888889,Off-target findings introduced via codeql:py/path-injection appeared in 4/18 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-502`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,CWE-502
sast_test,codeql:py/polynomial-redos,Off-target findings introduced via codeql:py/polynomial-redos,Web Outputs & Rendering,CWE-502,0.16666666666666666,3,0.07792207792207792,6,unresolved_off_target_findings::sast_test:codeql:py/polynomial-redos,unresolved_off_target_findings,2.138888888888889,Off-target findings introduced via codeql:py/polynomial-redos appeared in 3/18 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-502`. Most recurrent unresolved SAST test: `codeql:py/polynomial-redos`. Most recurrent unresolved final CWE: `CWE-1333`.,CWE-502
sast_test,bandit:B404,Persistent target findings on bandit:B404,Execution Environment & Infrastructure,CWE-20,0.08771929824561403,5,0.06493506493506493,5,unresolved_target_findings::sast_test:bandit:B404,unresolved_target_findings,1.3508771929824561,Persistent target findings on bandit:B404 appeared in 5/57 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B404`. Most recurrent unresolved final CWE: `CWE-78`.,CWE-78
sast_test,bandit:B105,Off-target findings introduced via bandit:B105,Authentication & Access Control,CWE-20,0.14035087719298245,8,0.1038961038961039,8,unresolved_off_target_findings::sast_test:bandit:B105,unresolved_off_target_findings,1.350877192982456,Off-target findings introduced via bandit:B105 appeared in 8/57 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B105`. Most recurrent unresolved final CWE: `CWE-259`.,CWE-78
sast_test,bandit:B605,Persistent target findings on bandit:B605,Execution Environment & Infrastructure,CWE-20,0.07017543859649122,4,0.05194805194805195,4,unresolved_target_findings::sast_test:bandit:B605,unresolved_target_findings,1.350877192982456,Persistent target findings on bandit:B605 appeared in 4/57 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B605`. Most recurrent unresolved final CWE: `CWE-78`.,CWE-78
sast_test,bandit:B603,Persistent target findings on bandit:B603,Execution Environment & Infrastructure,CWE-20,0.03508771929824561,2,0.025974025974025976,2,unresolved_target_findings::sast_test:bandit:B603,unresolved_target_findings,1.350877192982456,Persistent target findings on bandit:B603 appeared in 2/57 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B603`. Most recurrent unresolved final CWE: `CWE-78`.,CWE-78
