attack_surface,failed_run_share_within_surface,failed_runs_with_reason,primary_reason,surface_failed_runs,surface_runs
User Inputs & Data,0.8,12,unresolved_off_target_findings,15,30
User Inputs & Data,0.06666666666666667,1,no_code,15,30
User Inputs & Data,0.06666666666666667,1,unresolved_target_findings,15,30
User Inputs & Data,0.06666666666666667,1,syntax_error,15,30
Web Outputs & Rendering,0.8888888888888888,8,unresolved_off_target_findings,9,31
Web Outputs & Rendering,0.0,0,no_code,9,31
Web Outputs & Rendering,0.0,0,unresolved_target_findings,9,31
Web Outputs & Rendering,0.1111111111111111,1,syntax_error,9,31
Storage & Filesystem,0.7,7,unresolved_off_target_findings,10,24
Storage & Filesystem,0.0,0,no_code,10,24
Storage & Filesystem,0.2,2,unresolved_target_findings,10,24
Storage & Filesystem,0.1,1,syntax_error,10,24
Authentication & Access Control,0.75,12,unresolved_off_target_findings,16,30
Authentication & Access Control,0.1875,3,no_code,16,30
Authentication & Access Control,0.0,0,unresolved_target_findings,16,30
Authentication & Access Control,0.0625,1,syntax_error,16,30
Data Exchange & External Services,0.3333333333333333,3,unresolved_off_target_findings,9,27
Data Exchange & External Services,0.1111111111111111,1,no_code,9,27
Data Exchange & External Services,0.3333333333333333,3,unresolved_target_findings,9,27
Data Exchange & External Services,0.2222222222222222,2,syntax_error,9,27
Execution Environment & Infrastructure,0.16666666666666666,3,unresolved_off_target_findings,18,29
Execution Environment & Infrastructure,0.05555555555555555,1,no_code,18,29
Execution Environment & Infrastructure,0.7222222222222222,13,unresolved_target_findings,18,29
Execution Environment & Infrastructure,0.05555555555555555,1,syntax_error,18,29
