anchor_type,anchor_value,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,failure_share,pattern_id,primary_reason,summary,support
sast_test,codeql:py/path-injection,Off-target findings introduced via codeql:py/path-injection,Storage & Filesystem,CWE-20,0.1038961038961039,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,Off-target findings introduced via codeql:py/path-injection appeared in 8/77 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,8
sast_test,bandit:B105,Off-target findings introduced via bandit:B105,Authentication & Access Control,CWE-20,0.1038961038961039,unresolved_off_target_findings::sast_test:bandit:B105,unresolved_off_target_findings,Off-target findings introduced via bandit:B105 appeared in 8/77 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B105`. Most recurrent unresolved final CWE: `CWE-259`.,8
generic,,Syntax errors in generated code,Data Exchange & External Services,CWE-20,0.09090909090909091,syntax_error,syntax_error,Syntax errors in generated code appeared in 7/77 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`.,7
sast_test,codeql:py/polynomial-redos,Off-target findings introduced via codeql:py/polynomial-redos,Web Outputs & Rendering,CWE-502,0.07792207792207792,unresolved_off_target_findings::sast_test:codeql:py/polynomial-redos,unresolved_off_target_findings,Off-target findings introduced via codeql:py/polynomial-redos appeared in 6/77 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-502`. Most recurrent unresolved SAST test: `codeql:py/polynomial-redos`. Most recurrent unresolved final CWE: `CWE-1333`.,6
sast_test,codeql:py/flask-debug,Off-target findings introduced via codeql:py/flask-debug,Authentication & Access Control,CWE-20,0.07792207792207792,unresolved_off_target_findings::sast_test:codeql:py/flask-debug,unresolved_off_target_findings,Off-target findings introduced via codeql:py/flask-debug appeared in 6/77 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/flask-debug`. Most recurrent unresolved final CWE: `CWE-215`.,6
generic,,No code returned,Authentication & Access Control,CWE-20,0.07792207792207792,no_code,no_code,No code returned appeared in 6/77 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-20`.,6
sast_test,bandit:B108,Off-target findings introduced via bandit:B108,User Inputs & Data,CWE-20,0.06493506493506493,unresolved_off_target_findings::sast_test:bandit:B108,unresolved_off_target_findings,Off-target findings introduced via bandit:B108 appeared in 5/77 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B108`. Most recurrent unresolved final CWE: `CWE-377`.,5
sast_test,bandit:B404,Persistent target findings on bandit:B404,Execution Environment & Infrastructure,CWE-20,0.06493506493506493,unresolved_target_findings::sast_test:bandit:B404,unresolved_target_findings,Persistent target findings on bandit:B404 appeared in 5/77 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B404`. Most recurrent unresolved final CWE: `CWE-78`.,5
sast_test,bandit:B605,Persistent target findings on bandit:B605,Execution Environment & Infrastructure,CWE-20,0.05194805194805195,unresolved_target_findings::sast_test:bandit:B605,unresolved_target_findings,Persistent target findings on bandit:B605 appeared in 4/77 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B605`. Most recurrent unresolved final CWE: `CWE-78`.,4
sast_test,codeql:py/bad-tag-filter,Off-target findings introduced via codeql:py/bad-tag-filter,Web Outputs & Rendering,CWE-79,0.025974025974025976,unresolved_off_target_findings::sast_test:codeql:py/bad-tag-filter,unresolved_off_target_findings,Off-target findings introduced via codeql:py/bad-tag-filter appeared in 2/77 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-79`. Most recurrent unresolved SAST test: `codeql:py/bad-tag-filter`. Most recurrent unresolved final CWE: `CWE-116`.,2
