anchor_type,anchor_value,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,failure_share,pattern_id,primary_reason,summary,support
generic,,Syntax errors in generated code,Data Exchange & External Services,CWE-22,0.18421052631578946,syntax_error,syntax_error,Syntax errors in generated code appeared in 14/76 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-22`.,14
sast_test,codeql:py/path-injection,Persistent target findings on codeql:py/path-injection,Storage & Filesystem,CWE-22,0.13157894736842105,unresolved_target_findings::sast_test:codeql:py/path-injection,unresolved_target_findings,Persistent target findings on codeql:py/path-injection appeared in 10/76 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-22`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,10
sast_test,bandit:B301,Persistent target findings on bandit:B301,Execution Environment & Infrastructure,CWE-502,0.13157894736842105,unresolved_target_findings::sast_test:bandit:B301,unresolved_target_findings,Persistent target findings on bandit:B301 appeared in 10/76 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-502`. Most recurrent unresolved SAST test: `bandit:B301`. Most recurrent unresolved final CWE: `CWE-502`.,10
sast_test,bandit:B105,Persistent target findings on bandit:B105,Web Outputs & Rendering,CWE-502,0.06578947368421052,unresolved_target_findings::sast_test:bandit:B105,unresolved_target_findings,Persistent target findings on bandit:B105 appeared in 5/76 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-502`. Most recurrent unresolved SAST test: `bandit:B105`. Most recurrent unresolved final CWE: `CWE-259`.,5
sast_test,bandit:B403,Persistent target findings on bandit:B403,User Inputs & Data,CWE-287,0.05263157894736842,unresolved_target_findings::sast_test:bandit:B403,unresolved_target_findings,Persistent target findings on bandit:B403 appeared in 4/76 failed runs and was most common on `User Inputs & Data` while targeting `CWE-287`. Most recurrent unresolved SAST test: `bandit:B403`. Most recurrent unresolved final CWE: `CWE-502`.,4
sast_test,bandit:B105,Off-target findings introduced via bandit:B105,Authentication & Access Control,CWE-89,0.039473684210526314,unresolved_off_target_findings::sast_test:bandit:B105,unresolved_off_target_findings,Off-target findings introduced via bandit:B105 appeared in 3/76 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-89`. Most recurrent unresolved SAST test: `bandit:B105`. Most recurrent unresolved final CWE: `CWE-259`.,3
sast_test,codeql:py/stack-trace-exposure,Off-target findings introduced via codeql:py/stack-trace-exposure,User Inputs & Data,CWE-89,0.02631578947368421,unresolved_off_target_findings::sast_test:codeql:py/stack-trace-exposure,unresolved_off_target_findings,Off-target findings introduced via codeql:py/stack-trace-exposure appeared in 2/76 failed runs and was most common on `User Inputs & Data` while targeting `CWE-89`. Most recurrent unresolved SAST test: `codeql:py/stack-trace-exposure`. Most recurrent unresolved final CWE: `CWE-209`.,2
sast_test,codeql:py/path-injection,Off-target findings introduced via codeql:py/path-injection,Storage & Filesystem,CWE-20,0.02631578947368421,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,Off-target findings introduced via codeql:py/path-injection appeared in 2/76 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,2
sast_test,bandit:B603,Persistent target findings on bandit:B603,Data Exchange & External Services,CWE-78,0.02631578947368421,unresolved_target_findings::sast_test:bandit:B603,unresolved_target_findings,Persistent target findings on bandit:B603 appeared in 2/76 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-78`. Most recurrent unresolved SAST test: `bandit:B603`. Most recurrent unresolved final CWE: `CWE-78`.,2
sast_test,bandit:B104,Persistent target findings on bandit:B104,Web Outputs & Rendering,CWE-22,0.02631578947368421,unresolved_target_findings::sast_test:bandit:B104,unresolved_target_findings,Persistent target findings on bandit:B104 appeared in 2/76 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-22`. Most recurrent unresolved SAST test: `bandit:B104`. Most recurrent unresolved final CWE: `CWE-209`.,2
