attack_surface,failed_run_share_within_surface,failed_runs_with_reason,primary_reason,surface_failed_runs,surface_runs
User Inputs & Data,0.631578947368421,12,unresolved_target_findings,19,33
User Inputs & Data,0.2631578947368421,5,unresolved_off_target_findings,19,33
User Inputs & Data,0.10526315789473684,2,syntax_error,19,33
Web Outputs & Rendering,0.7692307692307693,10,unresolved_target_findings,13,23
Web Outputs & Rendering,0.23076923076923078,3,unresolved_off_target_findings,13,23
Web Outputs & Rendering,0.0,0,syntax_error,13,23
Storage & Filesystem,0.5555555555555556,5,unresolved_target_findings,9,13
Storage & Filesystem,0.3333333333333333,3,unresolved_off_target_findings,9,13
Storage & Filesystem,0.1111111111111111,1,syntax_error,9,13
Authentication & Access Control,0.5714285714285714,8,unresolved_target_findings,14,22
Authentication & Access Control,0.21428571428571427,3,unresolved_off_target_findings,14,22
Authentication & Access Control,0.21428571428571427,3,syntax_error,14,22
Data Exchange & External Services,0.3333333333333333,4,unresolved_target_findings,12,19
Data Exchange & External Services,0.08333333333333333,1,unresolved_off_target_findings,12,19
Data Exchange & External Services,0.5833333333333334,7,syntax_error,12,19
Execution Environment & Infrastructure,0.6666666666666666,6,unresolved_target_findings,9,14
Execution Environment & Infrastructure,0.2222222222222222,2,unresolved_off_target_findings,9,14
Execution Environment & Infrastructure,0.1111111111111111,1,syntax_error,9,14
