anchor_type,anchor_value,attack_surface,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,group_failure_share,group_support,overall_failure_share,overall_support,pattern_id,primary_reason,specificity_lift,summary
sast_test,codeql:py/path-injection,User Inputs & Data,Off-target findings introduced via codeql:py/path-injection,User Inputs & Data,CWE-287,0.0625,1,0.009900990099009901,1,unresolved_off_target_findings::sast_test:codeql:py/path-injection,unresolved_off_target_findings,6.3125,Off-target findings introduced via codeql:py/path-injection appeared in 1/16 failed runs and was most common on `User Inputs & Data` while targeting `CWE-287`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.
generic,,User Inputs & Data,No code returned,User Inputs & Data,CWE-22,0.0625,1,0.019801980198019802,2,no_code,no_code,3.15625,No code returned appeared in 1/16 failed runs and was most common on `User Inputs & Data` while targeting `CWE-22`.
sast_test,bandit:B105,User Inputs & Data,Persistent target findings on bandit:B105,User Inputs & Data,CWE-287,0.0625,1,0.019801980198019802,2,unresolved_target_findings::sast_test:bandit:B105,unresolved_target_findings,3.15625,Persistent target findings on bandit:B105 appeared in 1/16 failed runs and was most common on `User Inputs & Data` while targeting `CWE-287`. Most recurrent unresolved SAST test: `bandit:B105`. Most recurrent unresolved final CWE: `CWE-259`.
sast_test,bandit:B605,User Inputs & Data,Persistent target findings on bandit:B605,User Inputs & Data,CWE-287,0.0625,1,0.019801980198019802,2,unresolved_target_findings::sast_test:bandit:B605,unresolved_target_findings,3.15625,Persistent target findings on bandit:B605 appeared in 1/16 failed runs and was most common on `User Inputs & Data` while targeting `CWE-287`. Most recurrent unresolved SAST test: `bandit:B605`. Most recurrent unresolved final CWE: `CWE-78`.
sast_test,codeql:py/path-injection,User Inputs & Data,Persistent target findings on codeql:py/path-injection,User Inputs & Data,CWE-20,0.125,2,0.07920792079207921,8,unresolved_target_findings::sast_test:codeql:py/path-injection,unresolved_target_findings,1.578125,Persistent target findings on codeql:py/path-injection appeared in 2/16 failed runs and was most common on `User Inputs & Data` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.
sast_test,codeql:py/reflective-xss,Web Outputs & Rendering,Off-target findings introduced via codeql:py/reflective-xss,Web Outputs & Rendering,CWE-20,0.0625,1,0.009900990099009901,1,unresolved_off_target_findings::sast_test:codeql:py/reflective-xss,unresolved_off_target_findings,6.3125,Off-target findings introduced via codeql:py/reflective-xss appeared in 1/16 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/reflective-xss`. Most recurrent unresolved final CWE: `CWE-79`.
sast_test,codeql:py/partial-ssrf,Web Outputs & Rendering,Persistent target findings on codeql:py/partial-ssrf,Web Outputs & Rendering,CWE-20,0.0625,1,0.009900990099009901,1,unresolved_target_findings::sast_test:codeql:py/partial-ssrf,unresolved_target_findings,6.3125,Persistent target findings on codeql:py/partial-ssrf appeared in 1/16 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/partial-ssrf`. Most recurrent unresolved final CWE: `CWE-22`.
sast_test,bandit:B108,Web Outputs & Rendering,Persistent target findings on bandit:B108,Web Outputs & Rendering,CWE-22,0.0625,1,0.009900990099009901,1,unresolved_target_findings::sast_test:bandit:B108,unresolved_target_findings,6.3125,Persistent target findings on bandit:B108 appeared in 1/16 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-22`. Most recurrent unresolved SAST test: `bandit:B108`. Most recurrent unresolved final CWE: `CWE-377`.
sast_test,bandit:B105,Web Outputs & Rendering,Off-target findings introduced via bandit:B105,Web Outputs & Rendering,CWE-287,0.1875,3,0.04950495049504951,5,unresolved_off_target_findings::sast_test:bandit:B105,unresolved_off_target_findings,3.7874999999999996,Off-target findings introduced via bandit:B105 appeared in 3/16 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-287`. Most recurrent unresolved SAST test: `bandit:B105`. Most recurrent unresolved final CWE: `CWE-259`.
generic,,Web Outputs & Rendering,Syntax errors in generated code,Web Outputs & Rendering,CWE-22,0.25,4,0.12871287128712872,13,syntax_error,syntax_error,1.9423076923076923,Syntax errors in generated code appeared in 4/16 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-22`.
sast_test,bandit:B602,Storage & Filesystem,Persistent target findings on bandit:B602,Storage & Filesystem,CWE-287,0.05555555555555555,1,0.009900990099009901,1,unresolved_target_findings::sast_test:bandit:B602,unresolved_target_findings,5.611111111111111,Persistent target findings on bandit:B602 appeared in 1/18 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-287`. Most recurrent unresolved SAST test: `bandit:B602`. Most recurrent unresolved final CWE: `CWE-78`.
