attack_surface,failed_run_share_within_surface,failed_runs_with_reason,primary_reason,surface_failed_runs,surface_runs
User Inputs & Data,0.16666666666666666,4,unresolved_off_target_findings,24,40
User Inputs & Data,0.8333333333333334,20,unresolved_target_findings,24,40
User Inputs & Data,0.0,0,syntax_error,24,40
Web Outputs & Rendering,0.2962962962962963,8,unresolved_off_target_findings,27,54
Web Outputs & Rendering,0.7037037037037037,19,unresolved_target_findings,27,54
Web Outputs & Rendering,0.0,0,syntax_error,27,54
Storage & Filesystem,0.2962962962962963,8,unresolved_off_target_findings,27,56
Storage & Filesystem,0.7037037037037037,19,unresolved_target_findings,27,56
Storage & Filesystem,0.0,0,syntax_error,27,56
Authentication & Access Control,0.2222222222222222,2,unresolved_off_target_findings,9,35
Authentication & Access Control,0.7777777777777778,7,unresolved_target_findings,9,35
Authentication & Access Control,0.0,0,syntax_error,9,35
Data Exchange & External Services,0.18518518518518517,5,unresolved_off_target_findings,27,49
Data Exchange & External Services,0.8148148148148148,22,unresolved_target_findings,27,49
Data Exchange & External Services,0.0,0,syntax_error,27,49
Execution Environment & Infrastructure,0.28,7,unresolved_off_target_findings,25,62
Execution Environment & Infrastructure,0.68,17,unresolved_target_findings,25,62
Execution Environment & Infrastructure,0.04,1,syntax_error,25,62
